,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",Not-For-Profit:_2014,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndPremiumMinusCostsPMM_2014,IndPremiumPlusTransferMinusCostsPMM_2014,TotalLossPMM,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",Not-For-Profit:_2015,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015,IndPremiumPlusTransferMinusCostsPMM_2015
280,61724,UnitedHealthcare Life Insurance Company,OH,907441.89,1149383.33,No,-975536.98,8881,246629,3625969.39,5007633.02,408.2839083,563.8591397,129.4204853,-155.5752314,-26.15474609,76.02314942,United Healthcare Life Insurance Company,OH,2327012.2,2965356.57,No,-4212359.07,39475,467432,14906016.34,19732630.09,377.6064937,499.8766331,75.11986244,-122.2701393,-47.15027688
281,90117,UnitedHealthcare Insurance Company,RI,,,No,-1740424.21,9037,145710,3654330.77,4467752.79,404.3743244,494.384507,,-90.01018258,,0,United Healthcare Insurance Company,RI,,,No,-1255163.31,6049,88977,2884114.13,3251346.46,476.7918879,537.5014812,,-60.70959332,
283,69842,UnitedHealthcare Insurance Company,LA,,,No,511621.86,10105,205255,3714685.67,2746353.57,367.6086759,271.7816497,,95.82702622,,0,United Healthcare Insurance Company,LA,,,No,-301664.16,7895,204666,3230043.86,2202185.69,409.1252514,278.9342229,,130.1910285,
284,77422,Aetna Life Insurance Company,DC,0,-45424.71,No,400712.47,19134,12722,3784199.41,2750090.09,197.7735659,143.7279236,-2.374031044,54.04564231,51.67161127,51.67161127,Aetna Life Insurance Company,DC,26078.14,-254043.25,No,-335906.75,7547,8048,2045560.4,1150528.64,271.0428515,152.4484749,-33.66148801,118.5943766,84.93288856
285,39364,Medica Insurance Company,ND,,,No,-987988.94,18289,80761,3887599.05,2289058.85,212.5648778,125.1604161,,87.4044617,,0,Medica Insurance Company,ND,,,No,-79596.59,13459,64618,3338127.27,2110928.25,248.0219385,156.8413887,,91.18054982,
287,53789,Keystone Health Plan Central,PA,1122656.96,238390.33,No,-78244.77,12894,39670,3961366,4682943,307.2255313,363.1877617,18.48846983,-55.96223049,-37.47376066,49.59440748,Keystone Health Plan Central,PA,1234878.34,298016.86,No,5269.47,30665,17939,8559182,9790442,279.1189304,319.2708952,9.718469265,-40.15196478,-30.43349552
288,40442,Freedom Life Insurance,FL,197590.16,34088.7,No,,14676,,3968126,3457885,270.3819842,235.6149496,2.322751431,34.76703461,37.08978605,50.55327473,Freedom Life Insurance,FL,441431.46,544782.95,No,,10292,,3189781,4324035,309.9281967,420.1355422,52.93266129,-110.2073455,-57.27468422
289,17808,Humana Insurance Company,SC,2760.15,24910.64,No,-3229.79,14566,109,3970049.62,4017044.401,272.5559261,275.7822601,1.710190855,-3.226333997,-1.516143142,-1.326650487,Humana Insurance Company,SC,0,16975.57,No,,8505,,2661666.91,2139771.392,312.9531934,251.5898168,1.995951793,61.3633766,63.3593284
290,77514,Neighborhood Health Plan of Rhode Island,RI,22152.3,-570729.75,Yes,-28800.7,11408,409,4044489.86,1975782.139,354.5310186,173.192684,-50.02890515,181.3383346,131.3094294,133.251251,Neighborhood Health Plan of Rhode Island,RI,1435292.63,-8608201.54,Yes,-343863.12,187810,3128,58621412,25640382,312.1314733,136.522986,-45.83462829,175.6084873,129.773859
291,98905,CommunityCare HMO Inc.,OK,424071.17,823116.3,No,-1245374.77,17942,141504,4191506,4445552,233.6142013,247.7734924,45.87650764,-14.15929105,31.71721659,55.35288541,Community Care HMO Inc.,OK,919447.27,1755937.92,No,-1588829.22,27269,154716,7749880,9761451,284.2011075,357.9687924,64.3931908,-73.76768492,-9.374494114
292,87226,Superior Health Plan,TX,280267.01,-933830.98,No,,14103,,4397780.869,2962415.366,311.833005,210.0556879,-66.21505921,101.7773171,35.56225789,55.43512253,Superior Health Plan,TX,1216649.13,-5580967.25,No,,102284,,29012527.38,23280657.02,283.6467813,227.6080034,-54.56344345,56.03877791,1.475334461
294,45786,Molina Healthcare of Texas,TX,973697.67,722999.82,No,,12642,,4804046,4692447,380.0068027,371.1791647,57.19030375,8.827638032,66.01794178,143.0387984,Molina Healthcare of Texas,TX,2013053.67,-4116190.69,No,,154159,,53436933,33378968,346.6351819,216.5229925,-26.70094312,130.1121894,103.4112462
295,58483,John Alden Life Insurance Company,TX,,,No,-684147.34,13294,56294,4920462,2632535,370.1265232,198.0242967,,172.1022266,,0,John Alden Life Insurance Company,TX,,,No,-588168.1,8627,29137,3390637,1661624,393.0261968,192.6073954,,200.4188014,
296,86830,Cigna Health and Life Insurance Company,AZ,4060861.27,1978320.29,No,-24005.57,16576,1883,5021387,11070817,302.9311655,667.8822997,119.3484731,-364.9511342,-245.6026611,-0.618269788,Cigna Health and Life Insurance Company,AZ,1431522.46,2978136.23,No,-35.55,11908,1943,4425413,6759424,371.6336077,567.6372187,250.0954174,-196.003611,54.09180635
297,82011,UnitedHealthcare Insurance Company,AZ,,,No,2961325.69,10904,486523,5036335.1,4047839,461.8795946,371.2251467,,90.65444791,,0,United Healthcare Insurance Company,AZ,,,No,4970157.33,7959,455517,3526468.74,2392772.56,443.0793743,300.6373363,,142.4420379,
298,22369,Aetna Life Insurance Company,SC,,,No,-18182.04,21234,552,5094293.65,4037360.15,239.9121056,190.1365805,,49.7755251,,0,Aetna Life Insurance Company,SC,,,No,-183730.56,3120,1177,999909.67,1046345.73,320.4838686,335.3672212,,-14.88335256,
300,67202,"Louisiana Health Cooperative, Inc.",LA,9878052.34,-7456986.26,Yes,-36621.89,110861,1194,5190257,56988875.59,46.81769964,514.0570227,-67.26428825,-467.239323,-534.5036113,-445.4005693,"Louisiana Health Cooperative, Inc.",LA,6806873.05,-8658833.22,Yes,-177962.62,287238,2901,74287655.86,119232310.9,258.6275349,415.0993632,-30.14515217,-156.4718284,-186.6169806
301,48161,Aetna Life Insurance Company,MO,,,No,228766.81,21388,31802,5272812.84,4227374.61,246.5313653,197.6517024,,48.8796629,,0,Aetna Life Insurance Company,MO,,,No,258345.46,7897,21933,2054294.03,2303668.84,260.1360048,291.7144283,,-31.57842345,
302,68398,"UnitedHealthcare of Florida, Inc.",FL,,,No,1650597.6,8953,709422,5326480.94,6733998.3,594.9381146,752.1499274,,-157.2118128,,0,"United Healthcare of Florida, Inc.",FL,75479361.88,14572435.15,No,-4380861.24,1434483,753362,550885456.1,697124928.4,384.030662,485.9764308,10.15866702,-101.9457688,-91.7871018
303,19722,"Molina Health Care of New Mexico, Inc.",NM,325293.64,685619.88,No,,18034,,5506419,4244028,305.335422,235.334812,38.01818121,70.00060996,108.0187912,126.0565887,"Molina Health Care of New Mexico, Inc.",NM,300867.77,-265619.48,No,,48422,,13765542,8974418,284.2828053,185.3376151,-5.48551237,98.9451902,93.45967783
304,66946,Aetna Life Insurance Company,OK,146161.64,178252.53,No,-174947.03,19077,123106,5513790.47,7573350.23,289.0281737,396.9885323,9.343844944,-107.9603585,-98.6165136,-90.95484563,Aetna Life Insurance Company,OK,0,-37821.69,No,65348.5,4047,75066,1238526.13,903335.91,306.035614,223.2112454,-9.345611564,82.82436867,73.4787571
305,58288,"Humana Health Plan, Inc.",IL,1706900.43,614409.67,No,-1028302.66,14469,58894,5807766.545,9015660.135,401.393776,623.1018132,42.46386551,-221.7080372,-179.2441717,-61.27469003,"Humana Health Plan, Inc.",IL,434826.64,730433.28,No,-1525019.48,12865,44797,4870781.62,4513915.877,378.6071994,350.8679267,56.77678041,27.73927268,84.51605309
306,89106,UnitedHealthcare Life Insurance Company,WI,1343804.49,1384844.33,No,,14670,,5908205.32,7068437.39,402.7406489,481.8294063,94.39974983,-79.08875733,15.3109925,106.9132072,United Healthcare Life Insurance Company,WI,2293913.16,-1371221.77,No,,51450,,21204925.8,22200055.13,412.1462741,431.487952,-26.65154072,-19.34167794,-45.99321866
307,73751,Medica Health Plans,ND,1073377.89,-807481.69,Yes,-105459.46,19468,1056,5948961.29,5644879.94,305.5763967,289.9568492,-41.47738288,15.61954746,-25.85783542,29.27766334,Medica Health Plans,ND,1918693.8,-825246.58,Yes,389024.19,53628,2437,18429287.98,17357765.7,343.6504807,323.6698311,-15.38835273,19.98064966,4.592296934
308,95677,UnitedHealthcare Insurance Company,CA,,,No,4029609.65,12461,503041,5995770.22,6042728.3,481.1628457,484.9312495,,-3.76840382,,0,United Healthcare Insurance Company,CA,,,No,3006738.38,10567,492637,4656797.6,4845846.23,440.6924955,458.5829687,,-17.89047317,
309,80779,"Neighborhood Health Partnership, Inc.",FL,,,No,-171191.73,10782,617289,6051415.12,6242101.24,561.2516342,578.9372324,,-17.68559822,,0,"Neighborhood Health Partnership, Inc.",FL,,,No,-338156.26,7636,554192,4216909.92,3195481.36,552.2406915,418.4758198,,133.7648717,
310,50727,Humana Insurance Company,VA,2610901.31,178764.83,No,-11304.8,22045,75,6157572.23,8852020.059,279.3183139,401.5432098,8.109087321,-122.2248958,-114.1158085,4.319270175,Humana Insurance Company,VA,1723539.51,43710.21,No,,26924,,9158641.07,11430095.72,340.166434,424.5318571,1.623466424,-84.36542304,-82.74195662
311,74313,Paramount Insurance Company,OH,1327983.05,-389493.94,No,-528876.15,15159,123962,6194037,6711129,408.6045913,442.7158124,-25.69390725,-34.11122106,-59.80512831,27.79847681,Paramount Insurance Company,OH,1272564.12,-580499.95,No,-264272.01,33167,119621,12165663,11503977,366.8002231,346.850092,-17.50233515,19.95013115,2.447796002
313,29462,"Oxford Health Insurance, Inc. **",CT,,,No,4715438.4,10175,281054,6277323.63,5081898.85,616.9359833,499.4495184,,117.4864649,,0,"Oxford Health Insurance, Inc.",CT,,,No,5162193.87,7471,226055,4981886.02,4654320.68,666.8298782,622.9849659,,43.84491233,
314,82569,"Boston Medical Center Health Plan, Inc. ***",MA,130830.24,,Yes,,24050,,6284033,2332226.708,261.2903534,96.97408349,,164.3162699,,5.439926819,"Boston Medical Center Health Plan, Inc.",MA,1947450.1,,Yes,,282386,,83798266,61347073.43,296.7507808,217.2454492,,79.5053316,
315,45404,UnitedHealthcare Life Insurance Company,PA,1124049.95,798351.41,No,,27177,,6453709.23,9246442.03,237.4695231,340.2304165,29.37599477,-102.7608934,-73.38489863,-32.024559,United Healthcare Life Insurance Company,PA,1102044.68,1720000.53,No,,33447,,10045141.52,15860896.66,300.3301199,474.2098442,51.42465782,-173.8797243,-122.4550665
317,34541,BridgeSpan Health Company,UT,1994102.22,-938474.23,No,,27049,,6509773,11549848,240.6659396,426.9972273,-34.6953392,-186.3312877,-221.0266269,-147.3047806,Bridge Span Health Company,UT,3262555.12,-2946127.55,No,,91739,,21116576,33499438,230.1810135,365.1602699,-32.11423222,-134.9792564,-167.0934886
319,38596,Time Insurance Company,AK,1558728.91,-922848.49,No,-317715.76,21876,25471,6660334,6996763,304.4584933,319.8374017,-42.18543107,-15.37890839,-57.56433946,13.68858201,Time Insurance Company,AK,1167367.38,-2908793.99,No,-1465993.25,18660,18371,8912183,8302282,477.6089496,444.9240086,-155.8839223,32.68494105,-123.1989812
320,13667,HealthPlus of Michigan,MI,1384234.63,-855252.76,Yes,-366651.02,25005,12414,6708260,7981593,268.2767447,319.19988,-34.20326975,-50.92313537,-85.12640512,-29.76809158,Health Plus of Michigan,MI,913424.81,-4076070.63,Yes,83736.21,54902,22123,14782117,15350630,269.2455102,279.600561,-74.24266202,-10.35505082,-84.59771283
321,60761,Meritus Health Partners,AZ,1958734.84,2073821.34,Yes,-29408.53,26839,355,6768244,14641929,252.1794404,545.5467417,77.26894966,-293.3673013,-216.0983517,-143.1174343,Meritus Health Partners,AZ,7175051.81,-48452998.55,Yes,-788993.84,525565,6774,110954506,113931264,211.1147165,216.7786363,-92.19220943,-5.663919782,-97.85612921
322,26539,"SHA, LLC DBA FirstCare Health Plans",TX,1960486.45,2143995.88,No,-367353,21362,57678,6901426.81,12310190.48,323.0702561,576.2658216,100.3649415,-253.1955655,-152.830624,-61.05614362,"SHA, LLC DBA First Care Health Plans",TX,3006003.71,1137907.19,No,-926124.88,114458,58012,26371990,30111944,230.4075731,263.0829125,9.941700799,-32.67533943,-22.73363863
323,59763,Tufts Health Public Plans Inc. ***,MA,116022.27,,Yes,,21869,7664,6979196,3306650,319.1364946,151.2026156,,167.933879,,5.305330376,Tufts Health Public Plans Inc.,MA,4629223.87,,Yes,,688066,23154,207545372,151069668,301.6358489,219.5569437,,82.07890522,
324,84014,County of Santa Clara,CA,440556.13,-318460.38,Yes,,15120,148,6988341,6495642,462.1918651,429.6059524,-21.06219444,32.5859127,11.52371825,40.66102844,County of Santa Clara,CA,505318.49,-115235.31,Yes,,22876,138,9807595,8941213,428.7285802,390.8556129,-5.037388967,37.8729673,32.83557834
325,84481,"Molina Healthcare of Washington, Inc.",WA,1345029.79,3774960.62,No,,17442,,7086075,8800956,406.2650499,504.5841073,216.4293441,-98.31905745,118.1102867,195.224711,"Molina Healthcare of Washington, Inc.",WA,1184205.29,1537384.84,No,,50553,,17631287,17023375,348.7683619,336.7431211,30.4113473,12.02524084,42.43658814
326,30991,Time Insurance Company,AR,2304205.03,-2043.49,No,-50048.48,25130,2438,7106472,10477266,282.7883804,416.9226423,-0.081316753,-134.1342618,-134.2155786,-42.5241727,Time Insurance Company,AR,853438.8,-668914.23,No,-271493.27,15038,1253,5306873,7590690,352.8975263,504.7672563,-44.48159529,-151.86973,-196.3513253
327,16204,"Coordinated Health Mutual, Inc.",OH,929483.49,-1262069.95,Yes,-2121774.3,19320,23358,7108247,6902111,367.9216874,357.2521222,-65.32453157,10.66956522,-54.65496636,-6.545054865,"Coordinated Health Mutual, Inc.",OH,15348555.75,-3985495.69,Yes,-3214448.51,192418,62497,71644539,117238425,372.3380297,609.2903211,-20.71269679,-236.9522914,-257.6649882
328,85408,"GlobalHealth, Inc.",OK,2086448.06,508909.92,No,-15049.88,21621,788,7236177,12964403,334.6828084,599.6208779,23.53776051,-264.9380695,-241.400309,-144.8993118,"Global Health, Inc.",OK,611619.22,,No,,13431,574,4524856,7859076,336.8964336,585.1445164,,-248.2480828,
329,20895,Humana Insurance Company,NV,2142999.48,1873080.72,No,-358637.74,30780,51544,7371670.17,12724866.64,239.4954571,413.4134711,60.85382456,-173.918014,-113.0641894,-43.4410744,Humana Insurance Company,NV,2037936.77,1431529.89,No,-1141023.21,17260,31901,5939058.05,13692385.66,344.0937457,793.3016025,82.93915933,-449.2078569,-366.2686976
330,32237,Humana Insurance Company,NC,86672.41,-458922.56,No,-9900.45,37196,623,7419397.65,5361900.222,199.4676215,144.152603,-12.33795462,55.3150185,42.97706388,45.30721793,Humana Insurance Company,NC,293030.6,-520970.75,No,,28992,12,6801002.18,5108896.339,234.5820288,176.217451,-17.96946571,58.36457785,40.39511213
331,31552,Aetna Life Insurance Company,TN,170438.32,-116538.47,No,-866977.39,29871,80172,7433918.94,6290052.82,248.8674279,210.5738951,-3.901391651,38.29353286,34.39214121,40.09795353,Aetna Life Insurance Company,TN,76105.04,-112658.65,No,256967.28,15249,64634,4098764.87,2798856.85,268.7890924,183.5436324,-7.387936914,85.24546003,77.85752312
332,29497,Aetna Life Insurance Company,DE,290104.21,-357373.55,No,-77166.51,37213,3228,7707729.93,5261689.08,207.1246589,141.393843,-9.603459812,65.73081584,56.12735603,63.92313197,Aetna Life Insurance Company,DE,983961.77,-1832345.1,No,-241246.17,23387,4936,8127670.65,7114111.22,347.5294245,304.1908419,-78.34887331,43.33858255,-35.01029076
333,37001,Humana Insurance Company,GA,1866817.18,2184957.04,No,721767.42,28543,8348,7751973.47,8576659.711,271.5893028,300.4820695,76.54966331,-28.89276674,47.65689658,113.0605745,Humana Insurance Company,GA,1390112.88,1622203.69,No,308751.17,15247,10003,6050468.51,8094148.912,396.8300984,530.8682962,106.3949426,-134.0381978,-27.6432552
335,50491,Cigna Health and Life Insurance Company,GA,3655883.02,3395529.35,No,,20959,46462,8089063,16033152,385.9469917,764.976955,162.0081755,-379.0299633,-217.0217878,-42.59156591,Cigna Health and Life Insurance Company,GA,3610522.83,3938467.33,No,,44469,40411,16818343,23889040,378.2037599,537.2065934,88.56658189,-159.0028334,-70.43625155
336,70767,Aetna Life Insurance Company,MD,,,No,85307.78,40223,146753,8178450.31,7261502.09,203.3277058,180.5310914,,22.79661437,,0,Aetna Life Insurance Company,MD,,,No,-2554392.85,7335,78583,2167727.03,1461037.56,295.5319741,199.1871247,,96.34484935,
337,98704,UnitedHealthcare Life Insurance Company,OK,1369617.06,83712.74,No,,26326,,8231807.47,8105793.85,312.6873612,307.9007008,3.179850338,4.786660336,7.966510674,59.99177315,United Healthcare Life Insurance Company,OK,1663019.16,637091.31,No,,24179,,8196319.07,14955965.78,338.9850312,618.5518748,26.34895198,-279.5668435,-253.2178916
338,89217,Aetna Life Insurance Company,NJ,6801229.68,8273636.8,No,2281721.44,20206,111072,8379737.33,25868635.87,414.7152989,1280.245267,409.4643571,-865.5299683,-456.0656112,-119.4710512,Aetna Life Insurance Company,NJ,3126673.44,5290240.82,No,2477419.03,8849,135251,5334473.55,20176352.38,602.8334897,2280.071463,597.8348763,-1677.237974,-1079.403098
340,31434,Time Insurance Company,LA,1428188.05,323444.34,No,8246.81,26302,3599,8515155,7871239,323.7455327,299.2638963,12.29732872,24.48163638,36.7789651,91.07856399,Time Insurance Company,LA,1118095.05,-317760.3,No,-14565.43,20764,2758,8172343,7963945,393.5823059,383.5458004,-15.3034242,10.03650549,-5.266918705
341,94529,Group Health CooperativeSCW,WI,296955.37,1297858.57,Yes,-300007.81,22068,141267,8563146,9534047,388.0345296,432.030406,58.81178947,-43.99587638,14.81591309,28.27229201,Group Health Cooperative- SCW,WI,486417.48,1059019.73,Yes,1443408.15,23018,120594,10363196,10382746.45,450.221392,451.0707468,46.00832957,-0.849354853,45.15897472
342,45002,UnitedHealthcare Life Insurance Company,MI,1080097.07,-743360.22,No,-2483.96,28706,14,8580932.4,10001658.77,298.9246987,348.4170128,-25.89563924,-49.49231415,-75.38795339,-37.76177524,United Healthcare Life Insurance Company,MI,1369709.18,358625.01,No,-62155.35,46145,425,14749675.81,16108348.77,319.6375731,349.0811306,7.771698125,-29.44355748,-21.67185936
343,40788,Scott and White Health Plan,TX,1443594.34,1029126.45,Yes,-1609323.38,29650,246275,8581439,11188278.01,289.4245868,377.3449582,34.70915514,-87.92037133,-53.21121619,-4.523380101,Scott and White Health Plan,TX,6991418.55,-13412865.64,Yes,-4512866.63,254595,251093,78083137,92377528.02,306.695485,362.8410928,-52.68314633,-56.14560781,-108.8287541
344,23307,"Humana Health Plan, Inc.",AZ,4117754.92,-351373.9,No,-750038.97,32208,137933,8637428.75,14286146.19,268.1765012,443.5589354,-10.90952248,-175.3824342,-186.2919567,-58.44313276,"Humana Health Plan, Inc.",AZ,676362.49,856409.75,No,-1948641.42,16365,143566,5082191,5778329,310.5524595,353.0906813,52.33179041,-42.53822181,9.793568592
345,30613,Humana Insurance Company,MO,2155537.32,-545487.55,No,1697620.38,36575,163714,8745971.2,9764057.32,239.124298,266.959872,-14.91421873,-27.83557403,-42.74979275,16.1849255,Humana Insurance Company,MO,4910519.65,-188325.95,No,-3938829.87,85368,182866,26388328.34,32700323.22,309.1126457,383.0512981,-2.206048519,-73.93865242,-76.14470094
346,94506,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,316474.04,-751505.85,Yes,-1598160.33,22353,47595,8802394,8736406,393.7902742,390.8381873,-33.61991008,2.952086968,-30.66782311,-16.50981121,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,493299.21,-1625923.79,Yes,-2940128.99,28987,47724,8721639,9746356,300.8810501,336.2319661,-56.09148204,-35.35091593,-91.44239797
347,19503,Time Insurance Company,KY,2528454.66,1786736.84,No,196961.32,44888,7273,8834919,13511722,196.8213999,301.0096685,39.80433167,-104.1882686,-64.38393691,-8.055861255,Time Insurance Company,KY,1692781.9,1187533.23,No,-16224.72,35805,6190,8818172,13346144,246.2832565,372.745259,33.16668705,-126.4620025,-93.29531546
348,45521,Time Insurance Company,MS,2150624.77,1041309.44,No,-54781.44,29792,904,9310169,10012692,312.5056727,336.0866004,34.95265306,-23.58092777,11.3717253,83.55972107,Time Insurance Company,MS,1557641.67,-67176.42,No,-113965.64,28059,512,10499567,11707483,374.1960512,417.2451976,-2.394113119,-43.04914644,-45.44325956
349,39481,UnitedHealthcare Life Insurance Company,SC,1693040.39,-774807.83,No,,25194,,9310950.57,9333526.57,369.5701584,370.4662447,-30.75366476,-0.89608637,-31.64975113,35.55039136,United Healthcare Life Insurance Company,SC,2087442.23,-414394.03,No,,36813,,14524584.65,16070654.17,394.550421,436.5483435,-11.25673077,-41.99792247,-53.25465325
350,79888,"HealthPartners, Inc.",MN,1402532.92,2384614.4,Yes,-4200533.56,22057,1061856,9438000,13356000,427.8913724,605.5220565,108.1114567,-177.6306841,-69.51922746,-5.932478578,"HealthPartners, Inc.",MN,,31708.01,Yes,-13774545.17,9394,1214110,4443000,5931000,472.9614648,631.3604428,3.37534703,-158.3989781,-155.023631
351,95878,HPHC Insurance Company Inc. ***,MA,2225269.37,,No,,21557,144645,9507570,8018263.493,441.0432806,371.9563712,,69.08690945,,103.2272287,HPHC Insurance Company Inc.,MA,2288842.82,,No,,120352,114120,30878843.46,25117387.64,256.571087,208.6993788,,47.87170816,
352,55105,Time Insurance Company,ND,376302.04,-409032.49,No,-78452.51,35604,6332,9507912,7578242,267.0461746,212.8480508,-11.48838586,54.19812381,42.70973795,53.27883243,Time Insurance Company,ND,1949251.42,-162737.22,No,155951.59,46779,1307,19001114,15054750,406.1889737,321.8271019,-3.478852049,84.36187178,80.88301973
353,14162,UnitedHealthcare Life Insurance Company,MO,2019769.19,1388382.82,No,,25008,,9686371.36,11088178.65,387.3309085,443.3852627,55.51754718,-56.05435421,-0.536807022,80.2281158,United Healthcare Life Insurance Company,MO,3675197.04,1543008.5,No,,100794,,34181806.75,37885711.01,339.1254117,375.872681,15.30853523,-36.74726928,-21.43873405
354,70619,UnitedHealthcare Life Insurance Company,TX,2549577.18,767008.61,No,,23287,,9707488.98,13214239.54,416.8630128,567.451348,32.93720144,-150.5883351,-117.6511337,-8.166134324,United Healthcare Life Insurance Company,TX,11906450.88,5956388.28,No,,145701,,52260167.58,95892226.31,358.6809121,658.1439133,40.88090185,-299.4630011,-258.5820993
355,82884,Aetna Health Inc. (a NJ corp.),NJ,,,No,-4701905.74,20390,840752,10003719.74,10066725.2,490.6189181,493.7089358,,-3.090017656,,0,Aetna Health Inc. (a NJ corp.),NJ,,,No,-18109387.03,7037,929182,3126280.33,2756796.21,444.2632272,391.7573128,,52.50591445,
356,53524,Coventry Health and Life,OK,548214.67,-322539.29,No,-977664.58,52740,92540,10161093,8321225.91,192.6638794,157.7782691,-6.115648275,34.88561035,28.76996208,39.1646278,Coventry Health and Life,OK,22512.4,-200398.31,No,-816839.4,9743,47711,1666568.13,1429357.23,171.0528718,146.706069,-20.56843991,24.34680283,3.778362927
358,58564,Physicians Plus Insurance Corporation,WI,140156.72,556347.7,No,-104807.25,41406,179478,10327768,11704591,249.4268464,282.6786215,13.43640294,-33.25177511,-19.81537217,-16.43043472,Physicians Plus Insurance Corporation,WI,166156.71,175983.58,No,-629677.53,31587,188864,9953281,9656285,315.1068794,305.7044037,5.571392662,9.402475702,14.97386836
359,52899,"UPMC Health Plan, Inc.",PA,2040378.03,2322777.07,Yes,583003.78,25507,8636,10354990,14876225.81,405.9665974,583.2213043,91.06429882,-177.2547069,-86.19040812,-6.197542243,"UPMC Health Plan, Inc.",PA,32889.28,197264.42,Yes,-5456.23,2351,112,1064770.42,1359652.739,452.9010719,578.3295359,83.90660145,-125.4284641,-41.52186261
360,34484,"Health New England, Inc. ***",MA,774704.21,,Yes,,26658,252869,10392418,10507054,389.8423738,394.1426214,,-4.30024758,,29.06085265,"Health New England, Inc.",MA,1633271.41,,Yes,,54482,239883,25232898,25529506,463.1419184,468.5860651,,-5.444146691,
361,86542,Time Insurance Company**,CT,2907270.19,1253125.49,No,,32592,,10690013,12884801,327.9949988,395.3363095,38.44886751,-67.34131075,-28.89244324,60.30951399,Time Insurance Company,CT,2420111.46,905352.48,No,,44378,,16848251,19155290,379.6532291,431.6393258,20.40093019,-51.98609671,-31.58516652
362,65847,Medica Health Plans of Wisconsin,MN,2670519.49,130710.53,Yes,,32699,,10691860.88,11093060,326.978222,339.2476834,3.997386159,-12.26946145,-8.272075293,73.39768494,Medica Health Plans of Wisconsin,MN,6052960.34,7678426.35,Yes,,76939,,25770963.62,40944996.08,334.9531917,532.1747889,99.79888418,-197.2215971,-97.42271293
363,57165,"Affinity Health Plan, Inc.",NY,464860.5,-2141766.08,No,,23258,,10718293.95,9224831,460.8433206,396.6304497,-92.08728524,64.21287084,-27.8744144,-7.887291685,"Affinity Health Plan, Inc.",NY,2549532.7,-24567668.78,Yes,,190900,,75887448,42445398,397.5246097,222.3436249,-128.6939171,175.1809848,46.48706768
364,71837,"Sendero Health Plans, inc.",TX,832608.73,-1992571.72,Yes,,36372,,11017658,9210273.545,302.9159243,253.2242809,-54.78312218,49.69164343,-5.091478747,17.79999629,"Sendero Health Plans, Inc.",TX,1494250.38,-4376813.02,Yes,,72061,,20742943,16440299.79,287.8525555,228.1442082,-60.73761147,59.70834723,-1.029264234
365,79763,Land of Lincoln Mutual Health Insurance Company,IL,4808906.25,816860.44,Yes,-390929.05,30733,2616,11019957,19901363.37,358.5708196,647.5568077,26.57926138,-288.985988,-262.4067266,-105.9330257,Land of Lincoln Mutual Health Insurance Company,IL,18123842.55,-22604098.38,Yes,-9219351.96,414794,91889,127889882.8,183230368.4,308.3214386,441.7382325,-54.49475735,-133.4167939,-187.9115512
366,71281,Regence BlueCross BlueShield Of Oregon,WA,3168816.2,1956765.45,Yes,-175111.08,39006,21425,11282241,18378882,289.2437317,471.1808952,50.16575527,-181.9371635,-131.7714082,-50.53220915,Regence BlueCross BlueShield Of Oregon,WA,2905564.38,1286238.74,Yes,821632.25,52337,11196,15966797,20919459,305.076657,399.7068804,24.57608843,-94.63022336,-70.05413493
367,19968,Humana Insurance Company,KS,385045.35,97760.97,No,-291686.41,65146,183283,11305627.63,9476517.522,173.5429287,145.4658386,1.500644245,28.07709004,29.57773429,35.48823302,Humana Insurance Company,KS,639450.47,129998.03,No,453059.45,52893,210867,10922316.9,11120538.07,206.4983438,210.2459318,2.457754901,-3.747587961,-1.289833059
