,Unnamed: 0,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",Not-For-Profit:_2014,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndPremiumMinusCostsPMM_2014,IndPremiumPlusTransferMinusCostsPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",Not-For-Profit:_2015,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015,IndPremiumPlusTransferMinusCostsPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",Not-For-Profit:,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndPremiumMinusCostsPMM,IndPremiumPlusTransferMinusCostsPMM,Transfers16Minus14
165,295,26002,SelectHealth,ID,22446618.57,5450923.74,Yes,-1392526.68,205994,64205,56856522,108593032,276.0105731,527.1659951,26.46156558,-251.155422,-224.6938564,Select Health,ID,19459263.73,9855840.04,Yes,-1382800.26,278361,116813,81043959,154031972,291.1469602,553.3532787,35.40668427,-262.2063184,-226.7996341,SelectHealth,ID,12396300.65,2728291.54,Yes,-1742435.08,442788,167642,143125602,217509208,323.23731,491.2265192,6.161620324,-167.9892093,-161.827589,-20.29994526
169,441,36096,Blue Cross Blue Shield of Illinois,IL,277754457.9,-10823647.68,Yes,4303605.47,5537415,4156218,1644254990,1902696433,296.9354816,343.607339,-1.954639065,-46.67185736,-48.62649642,Blue Cross Blue Shield of Illinois,IL,283514429,23056950.67,Yes,10877027.26,6478135,4030984,2068327690,2620797653,319.278263,404.5605183,3.559195767,-85.28225531,-81.72305954,Blue Cross Blue Shield of Illinois,IL,108205116.6,36348043.52,Yes,6244224.14,4887859,4399041,1823781516,1870843246,373.1248213,382.7531126,7.436393628,-9.628291242,-2.191897614,9.391032693
170,447,33602,Blue Cross Blue Shield of Texas,TX,549029026.7,-17907614.72,Yes,16110806.25,9694097,8623746,2675523465,3198174148,275.99512,329.9094437,-1.847270016,-53.91432363,-55.76159365,Blue Cross Blue Shield of Texas,TX,636984705,38571557.86,Yes,11386899.21,11485974,8594675,3682739521,4792483100,320.6292754,417.2465565,3.358144278,-96.61728113,-93.25913685,Blue Cross Blue Shield of Texas,TX,135693228.9,59463978.57,Yes,40787445.1,7787815,6530077,2648723458,2656789701,340.1112453,341.1469971,7.635515041,-1.035751748,6.599763293,9.482785057
171,228,38949,Keystone Health Plan West,PA,304443.33,223700.41,Yes,-59934.41,68099,1498,26891563,27681855,394.8892495,406.4942951,3.284929441,-11.6050456,-8.320116154,Keystone Health Plan West,PA,81947.41,63115.8,Yes,-7980.98,43144,1240,18231157,17352915,422.565293,402.2092296,1.462910254,20.35606342,21.81897367,Keystone Health Plan West,PA,0,232540.31,Yes,-18946.25,29592,126,14384084,12302391,486.0801568,415.733678,7.858215396,70.34647878,78.20469417,4.573285955
172,381,33653,Maine Community Health Options,ME,35448310.19,-926811.51,Yes,97813.31,376936,13093,166074149,173234740,440.5897792,459.5866142,-2.458803378,-18.99683501,-21.45563838,Maine Community Health Options,ME,40987289.61,2738773.24,Yes,-3768993.96,688724,48898,291354380,339462243.3,423.0350329,492.8857471,3.97659039,-69.85071422,-65.87412383,Maine Community Health Options,ME,17217074.37,5309414.63,Yes,-1592009.09,650462,128401,269816122,315546943,414.8068942,485.1120327,8.162528526,-70.3051385,-62.14260998,10.6213319
174,323,22444,Geisinger Health Plan,PA,14765963.46,1759834.57,Yes,-6627591.76,219034,138239,74406248.22,109587873.8,339.701819,500.3235744,8.034526923,-160.6217554,-152.5872285,Geisinger Health Plan,PA,9210149.64,11417706.62,Yes,-2139258.77,247339,189426,87519010.48,115945179.4,353.8423398,468.7703088,46.16217669,-114.927969,-68.76579229,Geisinger Health Plan,PA,5014140.76,2695562.98,Yes,-2263959.52,293115,156204,120501551.9,135014690.8,411.1067393,460.620203,9.196264197,-49.51346366,-40.31719946,1.161737274
177,325,77969,Regence BlueCross BlueShield of Oregon,OR,10846173.39,4080269.2,Yes,6543460.93,368323,374065,75631577,79709375,205.3403589,216.4116143,11.07796472,-11.07125539,0.006709328,Regence BlueCross BlueShield of Oregon,OR,5234032.69,5024567.08,Yes,5570483.58,281509,290080,62826201,68324502,223.1765272,242.7080555,17.84869073,-19.5315283,-1.682837565,Regence BlueCross BlueShield of Oregon,OR,4627308.73,1694890.09,Yes,4558873.15,175655,296113,60524893,58819381,344.5668669,334.8574251,9.648971507,9.709441804,19.35841331,-1.428993213
180,192,60597,PacificSource Health Plans,ID,2266284.66,663249.2,Yes,-228325.54,92174,72031,18851283,19724797.9,204.5184434,213.995247,7.195621325,-9.476803654,-2.281182329,Pacific Source Health Plans,ID,807479.44,600458.28,Yes,-80877.14,34541,21577,7143434,8342078.867,206.8102834,241.5123727,17.38392866,-34.70208931,-17.31816065,PacificSource Health Plans,ID,38751.09,303111.16,Yes,-116759.35,26839,14107,5969401,5955373.513,222.4151794,221.8925263,11.29368307,0.522653117,11.81633619,4.098061745
181,434,46944,Blue Cross and Blue Shield of Alabama,AL,97314734.65,993113.39,Yes,1551403.36,2190059,3172685,631740397,695885393,288.4581635,317.7473269,0.453464217,-29.28916344,-28.83569923,Blue Cross and Blue Shield of Alabama,AL,96845673.52,13434646.95,Yes,1891994.1,2535110,2748598,803165836,1033752425,316.8169571,407.7741893,5.299433535,-90.95723223,-85.6577987,Blue Cross and Blue Shield of Alabama,AL,48065429.7,24939398.79,Yes,2294842.22,2156818,2537700,846364917,973600832,392.4136932,451.406114,11.56305205,-58.99242078,-47.42936873,11.10958783
182,382,37160,Blue Cross Blue Shield of North Dakota,ND,13433148.25,1088177.61,Yes,309402.76,487298,662969,166203387,159610965,341.0713506,327.542828,2.233084499,13.52852259,15.76160709,Blue Cross Blue Shield of North Dakota,ND,12584324.78,1716903.71,Yes,22846.4,514810,623553,194054519,175053351,376.943958,340.0348692,3.335024009,36.90908879,40.2441128,Blue Cross Blue Shield of North Dakota,ND,7183989.12,5450054.61,Yes,788699.06,461658,599004,189953360.2,176708427.7,411.4590459,382.7691228,11.80539406,28.68992306,40.49531712,9.572309561
183,309,71287,Kaiser Foundation Healthplan of the NW,OR,9896905.63,12000350.41,Yes,2516711.91,213219,358876,66432191,79561707,311.5678762,373.1454842,56.28180608,-61.577608,-5.295801922,Kaiser Foundation Healthplan of the NW,OR,6778961.76,13259754.64,Yes,2707325.99,254073,327712,73999375,91876946,291.2524156,361.6163307,52.18875929,-70.3639151,-18.1751558,Kaiser Foundation Health Plan of the Northwest,OR,3740430.21,3959354.51,Yes,1489329.65,332025,310060,103553369,116478163,311.8842527,350.8114238,11.92486864,-38.92717115,-27.00230251,-44.35693744
184,399,68781,SelectHealth,UT,51361644.15,12505596.48,Yes,-1805886.51,1144804,1347616,244284085,346944682,213.3850729,303.0603335,10.92378825,-89.67526057,-78.75147232,Select Health,UT,45753380.6,29815302,Yes,2775857.47,1430842,1402554,333665717.5,492765465.8,233.1953615,344.388455,20.83759213,-111.1930935,-90.35550138,SelectHealth,UT,32012506.7,22409549.17,Yes,-995925.57,1849312,1474420,509597215.4,702984108,275.560433,380.132778,12.11777632,-104.5723451,-92.45456874,1.19398807
187,402,61589,"Blue Cross of Idaho Health Service, Inc.",ID,46067383.55,-7228265.36,Yes,557788.36,1042265,476090,257383419,301202622.5,246.9462363,288.9885226,-6.935151195,-42.04228627,-48.97743747,"Blue Cross of Idaho Health Service, Inc.",ID,38715261.37,-5152221.99,Yes,2750572.03,1019070,499500,290413107,366301108.4,284.9785658,359.4464643,-5.055807736,-74.46789857,-79.52370631,Blue Cross of Idaho,ID,14007899.33,11963363.34,Yes,3125581.67,849414,431058,286519235.8,305279675.4,337.3140021,359.4003341,14.08425496,-22.08633199,-8.002077032,21.01940616
189,227,67577,Alliance Health and Life Insurance Company,MI,2529564.79,1895578.59,Yes,-181245.97,113796,131419,26377099,24127739,231.7928486,212.0262487,16.65769087,19.76659988,36.42429075,Alliance Health and Life Insurance Company,MI,2909573.77,4463306.2,Yes,-282556.4,118357,166084,35855316,35364842,302.942082,298.7980601,37.71053846,4.1440219,41.85456036,Alliance Health & Life Insurance Co,MI,3461031.71,2973919.75,Yes,-1080248.95,198382,186023,63975333,64695568,322.4855733,326.1161194,14.99087493,-3.630546118,11.36032881,-1.66681594
190,232,20126,HealthSpan Integrated Care,OH,2879588.73,-9566203.9,Yes,-3621911.77,90538,122878,28554723,27408056,315.3893724,302.7243367,-105.6595452,12.66503568,-92.99450949,HealthSpan Integrated Care,OH,3299755.23,-4273438.02,Yes,-6425628.16,74581,57189,26936545.8,29106547.01,361.1716898,390.2675884,-57.29928561,-29.09589855,-86.39518416,HealthSpan Integrated Care,OH,1402007.29,431007.37,Yes,-4189027.32,28541,25223,10983572,13767889.42,384.8348691,482.3898749,15.10134088,-97.55500578,-82.4536649,120.7608861
191,436,14002,BlueCross BlueShield of Tennessee,TN,116386840.7,-1824896.38,Yes,6557826.76,2515002,2621780,638213294,816101770,253.7625394,324.4934875,-0.725604345,-70.73094813,-71.45655247,BlueCross BlueShield of Tennessee,TN,125248680,22571330.93,Yes,5242633.55,2916902,2375943,856845692,1134323885,293.7519642,388.8796693,7.738117678,-95.12770501,-87.38958733,BlueCross BlueShield of Tennessee,TN,67460123.57,40053163.35,Yes,6915643.83,2648394,2184913,983115944,1143858370,371.2121172,431.9064195,15.12356672,-60.69430228,-45.57073557,15.84917107
192,404,29678,Blue Cross and Blue Shield of Nebraska,NE,38604318.76,1379197.77,Yes,3588744.99,992595,434242,271101751,325081480,273.124236,327.5066669,1.389486921,-54.3824309,-52.99294398,Blue Cross and Blue Shield of Nebraska,NE,32361756.58,13541049.63,Yes,3977257.76,847755,361056,295502067,336088448,348.5701258,396.445256,15.9728337,-47.8751302,-31.9022965,Blue Cross and Blue Shield of Nebraska,NE,18276356.34,13703605.42,Yes,-3814395.91,872585,457235,298157742,346867208,341.6947827,397.5168127,15.70460806,-55.82202995,-40.11742189,14.31512114
193,290,22013,Regence BlueCross BlueShield of Utah,UT,4866764.79,524047.97,Yes,1299608.61,405320,512345,53408218,51268997,131.7680302,126.4901732,1.292924035,5.277857002,6.570781037,Regence BlueCross BlueShield of Utah,UT,4740413.21,1629776.02,Yes,-1352263.41,234400,429542,54021852,56735020,230.4686519,242.0436007,6.952969369,-11.57494881,-4.621979437,Regence BlueCross BlueShield of Utah,UT,2005943.85,2957250.22,Yes,5097980.75,180687,439813,49085799,46371400,271.6620399,256.6393819,16.36670164,15.02265797,31.38935961,15.07377761
194,280,92499,Sharp Health Plan,CA,10986209.85,10432568.53,Yes,-953791.37,122265,112929,48589226,63015430.38,397.4091195,515.4004039,85.32751425,-117.9912843,-32.66377009,Sharp Health Plan,CA,9640079.06,9791489.44,Yes,-5238158.44,230438,176700,105005537,105532273,455.6780436,457.9638471,42.490776,-2.285803557,40.20497244,Sharp Health Plan,CA,6648728.33,5351707.64,Yes,-9546508.28,324858,328423,131730201,122381020,405.5008681,376.721583,16.47399061,28.7792851,45.25327571,-68.85352364
195,424,53901,"Blue Cross Blue Shield of Arizona, Inc.",AZ,43210443.35,14331092.97,Yes,1494667.03,1649769,518338,425888273,447234457.3,258.1502459,271.0891387,8.686727033,-12.93889284,-4.252165806,"Blue Cross Blue Shield of Arizona, Inc.",AZ,51821293.19,20131634.31,Yes,-837227.17,1857597,534916,542138872.7,597086526.7,291.849563,321.4295279,10.83746061,-29.57996487,-18.74250426,Blue Cross Blue Shield of Arizona,AZ,27506938.31,29716531.05,Yes,-1968495.77,1672386,566367,566217459.2,551785277.1,338.5686434,329.9389478,17.76894273,8.629695597,26.39863832,9.082215697
196,371,15287,Blue Cross & Blue Shield of Rhode Island,RI,23394916.92,570729.73,Yes,2903419.54,413678,633682,147318626,143930445,356.1190733,347.9286909,1.379647286,8.190382375,9.570029661,Blue Cross & Blue Shield of Rhode Island,RI,11366007.86,9680258.57,Yes,5753305.59,297884,586445,117073563,118616160.3,393.017292,398.1958088,32.4967389,-5.178516805,27.31822209,Blue Cross & Blue Shield of Rhode Island,RI,5862148.72,6027710.92,Yes,7448774.01,333572,564385,132647006,132308391,397.6562961,396.6411779,18.0701945,1.015118175,19.08531268,16.69054721
201,284,29241,Priority Health Insurance Company (PHIC),MI,1980226.36,1869040.06,Yes,267097.25,260064,175745,50424136,51433723,193.8912575,197.7733289,7.186846545,-3.882071336,3.304775209,Priority Health Insurance Company (PHIC),MI,4303697.77,37908.56,Yes,124208.68,255090,144552,59195738,53108065,232.0582461,208.1934415,0.14860857,23.86480458,24.01341315,Priority Health,MI,3777289.5,5900733.25,Yes,1298105.46,274816,157168,77199778,78396996,280.9144227,285.2708576,21.47157826,-4.356434851,17.11514341,14.28473172
202,378,34762,Blue Cross and Blue Shield of Kansas City,MO,25923279.05,18053572.29,Yes,2682326.2,630607,442946,159451717.6,191337992.4,252.8543413,303.4187575,28.62888025,-50.56441619,-21.93553594,Blue Cross and Blue Shield of Kansas City,MO,22865750.61,20705929.36,Yes,-325653.6,659275,349948,197237281.5,232319618.5,299.1730029,352.3865132,31.40712049,-53.2135103,-21.80638981,Blue Cross and Blue Shield of Kansas City,MO,15688168.11,16722536.07,Yes,1407580.23,723050,401885,254149725.1,284157223.9,351.49675,392.9980277,23.12777273,-41.50127764,-18.37350492,-5.50110752
209,357,56184,"MVP Health Plan, Inc.",NY,20053742.68,11938998.21,Yes,-2812217.01,364461,54533,127650637,129234736.3,350.2449837,354.5914002,32.75795822,-4.346416489,28.41154173,"MVP Health Plan, Inc.",NY,14469727.59,25548029.99,Yes,-2504923.46,391924,38763,154749651,148032955.5,394.8460696,377.7083197,65.18618403,17.13774992,82.32393395,MVP Health Care Inc.,NY,6428619.97,8841541.49,Yes,-2074437.38,301003,38016,132150829,128120377,439.0349232,425.6448507,29.37359923,13.39007252,42.76367176,-3.38435899
210,211,91058,"Gundersen Health Plan, Inc.",WI,5727641.4,417451.12,Yes,-2319871.19,43139,81062,22631274.92,26227200.12,524.6128774,607.9695895,9.67688449,-83.35671202,-73.67982753,"Gundersen Health Plan, Inc.",WI,5246929.26,-855334.89,Yes,-6517699.11,55370,62022,29584232.87,34509322.89,534.3007562,623.2494652,-15.44762308,-88.94870905,-104.3963321,"Gundersen Health Plan, Inc.",WI,2265146.81,1397440.88,Yes,-4956513.34,46899,61486,27745515.97,34016030.85,591.6014408,725.3039692,29.79681614,-133.7025284,-103.9057123,20.11993165
211,443,11512,Blue Cross and Blue Shield of NC,NC,263657626.5,21858789.45,Yes,9263138.01,6260187,2352381,2015642630,2231132906,321.9780224,356.4003609,3.491715096,-34.4223385,-30.93062341,Blue Cross and Blue Shield of NC,NC,222234005.6,67566338.19,Yes,15759733.78,6595736,1960188,2458601688,2480964788,372.7562304,376.1467694,10.24394218,-3.390538979,6.853403197,Blue Cross Blue Shield of North Carolina,NC,94120592.05,150165052.9,Yes,20320343.9,5019015,1792683,2240222009,2208536078,446.3469444,440.0337672,29.91922776,6.313177187,36.23240494,26.42751266
213,331,94248,Blue Cross and Blue Shield of Kansas City,KS,11523299.72,8092802.17,Yes,1450193.47,332440,167621,80534884.03,87930153.72,242.2538925,264.4993193,24.34364749,-22.24542681,2.098220671,Blue Cross and Blue Shield of Kansas City,KS,10237463.22,12904886.1,Yes,827921.82,309590,114221,86715627.11,103606226.8,280.098282,334.6562447,41.68379502,-54.55796276,-12.87416774,Blue Cross and Blue Shield of Kansas City,KS,10536962.27,14625747.47,Yes,1720681.91,474810,102731,155071646.7,176573466.6,326.5972635,371.8823668,30.80336865,-45.2851033,-14.48173465,6.45972116
214,156,71281,Regence BlueCross BlueShield Of Oregon,WA,3168816.2,1956765.45,Yes,-175111.08,39006,21425,11282241,18378882,289.2437317,471.1808952,50.16575527,-181.9371635,-131.7714082,Regence BlueCross BlueShield Of Oregon,WA,2905564.38,1286238.74,Yes,821632.25,52337,11196,15966797,20919459,305.076657,399.7068804,24.57608843,-94.63022336,-70.05413493,Regence BlueCross BlueShield Of Oregon(Clark County),WA,996467.25,1808456.1,Yes,326963.22,58273,19936,21293460,20013979,365.4086798,343.4520104,31.0342028,21.95666947,52.99087227,-19.13155247
216,444,70285,CA Physician's Service dba Blue Shield of CA,CA,363050264.5,135212707.6,Yes,13755875.29,5746687,1599976,2103117282,1938962494,365.9703899,337.4052726,23.52881018,28.56511726,52.09392744,CA Physician's Service dba Blue Shield of CA,CA,282147399.1,181516599,Yes,19822043.9,6984408,2367193,2658951422,2638243806,380.6981811,377.7333463,25.98883098,2.964834815,28.95366579,CA Physician's Service dba Blue Shield of CA,CA,200597192.9,265442825.1,Yes,105943814.6,8342490,5418248,3331546180,3407583852,399.3467394,408.461245,31.8181772,-9.114505621,22.70367158,8.28936702
220,132,94529,Group Health CooperativeSCW,WI,296955.37,1297858.57,Yes,-300007.81,22068,141267,8563146,9534047,388.0345296,432.030406,58.81178947,-43.99587638,14.81591309,Group Health Cooperative- SCW,WI,486417.48,1059019.73,Yes,1443408.15,23018,120594,10363196,10382746.45,450.221392,451.0707468,46.00832957,-0.849354853,45.15897472,Group Health Cooperative of South Central Wisconsin,WI,268039.83,747453.25,Yes,1378517.48,21069,85271,8881249,9818764.263,421.5315867,466.028965,35.47644644,-44.49737828,-9.020931843,-23.33534303
221,253,67183,"Total Health Care USA, Inc.",MI,2025795.65,-1099668.46,Yes,-1225249.24,118609,96901,33847648,26440698,285.3716666,222.9232014,-9.271374516,62.44846512,53.17709061,"Total Health Care USA, Inc.",MI,1534183.55,1882988.25,Yes,192637.06,108034,93468,32834737,28529176,303.929661,264.075902,17.4295893,39.853759,57.2833483,Total Health Care,MI,473367.52,2404013.29,Yes,911860.92,66614,81384,20781599,22173053.56,311.9704416,332.8587618,36.08870943,-20.88832017,15.20038926,45.36008395
225,394,45532,"CareFirst of Maryland, Inc.",MD,21694659.41,9718734.15,Yes,3249730.99,844338,74785,215321625.9,218132668.9,255.0182817,258.347568,11.51047821,-3.329286376,8.181191833,"CareFirst of Maryland, Inc.",MD,23361093.08,22545287.16,Yes,7207643.04,670981,51225,214100821.7,226180077.9,319.0862658,337.0886477,33.6004852,-18.00238189,15.59810331,CareFirst of Maryland,MD,9220852.27,21010173.45,Yes,9161612.58,527754,69885,189994704.6,195001710.1,360.0061858,369.4935711,39.81054326,-9.487385221,30.32315804,28.30006505
229,134,40788,Scott and White Health Plan,TX,1443594.34,1029126.45,Yes,-1609323.38,29650,246275,8581439,11188278.01,289.4245868,377.3449582,34.70915514,-87.92037133,-53.21121619,Scott and White Health Plan,TX,6991418.55,-13412865.64,Yes,-4512866.63,254595,251093,78083137,92377528.02,306.695485,362.8410928,-52.68314633,-56.14560781,-108.8287541,Scott and White Health Plan,TX,3121959.08,4400630.58,Yes,-14473480.33,103181,242826,19611642,57707747.49,190.0702843,559.2865691,42.64962135,-369.2162849,-326.5666635,7.94046621
231,416,49831,Premera Blue Cross,WA,58409390.63,-7124602.23,Yes,-7510310.41,894365,1271163,344483991,303743793,385.1715921,339.6194988,-7.966101346,45.55209338,37.58599204,Premera Blue Cross,WA,60171189.8,18747955.38,Yes,-16440582.27,1100658,1667756,418268282,462242211,380.0165737,419.968974,17.03340673,-39.95240029,-22.91899357,Premera Blue Cross,WA,32382313.37,48645541.56,Yes,-3250387.15,1101801,1814747,454395716,519514520,412.411784,471.5139304,44.15093248,-59.10214639,-14.95121391,52.11703383
235,226,23603,PacificSource Health Plans,MT,6099996.76,506533.42,Yes,285047.68,92912,143109,26110449,35304377.4,281.0234308,379.976509,5.451754563,-98.95307818,-93.50132362,Pacific Source Health Plans,MT,7013675.92,-805324.98,Yes,-1744039.87,122296,109024,36162384,52480931.91,295.6955583,429.1304042,-6.585047589,-133.4348459,-140.0198935,PacificSource Health Plans,MT,3495987.92,4481331.95,Yes,30184.01,94536,87348,38051414.26,56105698.15,402.5071323,593.485002,47.40344366,-190.9778697,-143.574426,41.9516891
236,239,83761,Alliant Health Plans,GA,7265449.74,2745962.25,Yes,-1464662.42,68272,87967,29758360,37314070,435.8794235,546.550123,40.22091414,-110.6706996,-70.44978542,Alliant Health Plans,GA,10071727.5,4679043.57,Yes,22552.36,151336,65417,55822683.76,78554433,368.8658598,519.0730097,30.9182453,-150.2071499,-119.2889046,Alliant Health Plans,GA,4838655.1,6096822.55,Yes,-246485.61,126994,46729,57371368.64,71751937.82,451.7644034,565.0025814,48.0087449,-113.238178,-65.22943312,7.78783076
237,395,87718,Regence BlueShield,WA,58586000.12,32511257.78,Yes,15701650.08,634134,508653,219595069,230474233,346.2912712,363.4472099,51.26875042,-17.15593865,34.11281177,Regence BlueShield,WA,32444683.34,25715713.27,Yes,21915964.21,552202,455891,200189096,218920708,362.5287413,396.4504076,46.56939538,-33.92166635,12.64772904,Regence BlueShield,WA,15120899.16,24185349.06,Yes,12958434.18,496278,594150,203678116,210651995,410.411334,424.4636978,48.73347007,-14.0523638,34.68110628,-2.53528035
239,358,81974,Wisconsin Physicians Svc Insurance Corp,WI,29569505.7,9253503.82,Yes,391472.58,415053,231523,129521835,159237537,312.0609537,383.6559114,22.29475228,-71.59495775,-49.30020547,Wisconsin Physicians Svc Insurance Corp,WI,18524573.8,5160942.97,Yes,183981.2,313928,226782,114358725,146607291.6,364.2832911,467.0092875,16.43989377,-102.7259964,-86.28610264,Wisconsin Physicians Svc Insurance Corp - WI,WI,2664058.34,4335937.83,Yes,3586360.55,87370,141045,35614469,37111942,407.6281218,424.7675632,49.6273072,-17.13944146,32.48786574,27.33255492
242,393,18558,"Blue Cross and Blue Shield of Kansas, Inc.",KS,25958565.69,7698173.07,Yes,1056774.58,650169,1305258,208136266,235999821,320.1264071,362.9822723,11.84026472,-42.85586517,-31.01560045,"Blue Cross and Blue Shield of Kansas, Inc.",KS,22071027.01,17980150.06,Yes,1209308.94,692644,1169721,220132355,284277498,317.81457,410.423678,25.9587177,-92.609108,-66.6503903,"Blue Cross and Blue Shield of Kansas, Inc",KS,11808950.32,31581487.09,Yes,-649337.25,574755,1056686,215666455,273525098,375.2319771,475.8985968,54.94773789,-100.6666197,-45.7188818,43.10747317
243,298,18350,Hawaii Medical Service Association,HI,13001803.35,10430372.28,Yes,5740424.58,207688,1093845,58730826,70996892,282.7839163,341.8439775,50.22135261,-59.06006125,-8.83870864,Hawaii Medical Service Association,HI,16197585.19,15467100.5,Yes,7322488.29,308670,736432,91329533,125172066,295.8808209,405.5206726,50.10885574,-109.6398516,-59.53099589,Hawaii Medical Service Association,HI,10348585.13,16511893.78,Yes,11809305.09,299732,754141,101291469,136715595.7,337.9401232,456.126125,55.08885865,-118.1860018,-63.09714318,4.86750604
244,356,88582,Health Insurance Plan of Greater New York,NY,24545381.34,-3859201.9,Yes,-29376578.45,328572,234100,127188051.4,122147053.1,387.0933963,371.7512542,-11.74537666,15.34214206,3.596765397,Health Insurance Plan of Greater New York,NY,11925482.58,5515480.63,Yes,-36417583.95,273179,197242,112500247.5,110455976.4,411.8187983,404.3355324,20.18998763,7.483265917,27.67325354,Health Insurance Plan of Greater New York,NY,4243862.71,8036080.89,Yes,-35246057.62,145399,195527,65575264.58,82529442.7,451.0021704,567.6066734,55.26916203,-116.6045029,-61.33534089,67.01453869
253,366,97879,Rocky Mountain HMO,CO,54104079.51,13887675.22,Yes,-16089.07,317751,166386,143359065,192086392,451.1679428,604.5186073,43.7061574,-153.3506645,-109.6445071,Rocky Mountain HMO,CO,32893237.64,18515843.4,Yes,-2204692.42,310694,157000,141690627,212669755,456.045585,684.499073,59.59511095,-228.453488,-168.8583771,Rocky Mountain Health Maintenance Organization Inc,CO,8180224.47,10483559.33,Yes,-2943564.31,148133,160159,86666275,105268457,585.0571783,710.6347472,70.77126184,-125.5775688,-54.80630697,27.06510444
254,335,94084,GHMSI,MD,9970292.23,5177916.02,Yes,5641971.56,330002,350560,85024757.75,88465811.04,257.6492196,268.0765906,15.69055951,-10.42737102,5.263188496,GHMSI,MD,14153350.5,14549412.84,Yes,16049564.6,306744,244332,99853831.58,114469208.1,325.5282306,373.1750518,47.43177647,-47.64682119,-0.215044728,Group Hospitalization and Medical Services,MD,7161965.94,18670711.32,Yes,18607732.84,248712,234935,97591741.46,113987929.2,392.3885517,458.3129451,75.06960388,-65.92439343,9.145210444,59.37904437
259,431,15560,Blue Cross Blue Shield of Michigan Mutual Insurance Company,MI,104173592.8,67492960.02,Yes,13529304.35,2056894,2504910,595126565.1,647127004.9,289.332637,314.6136869,32.81304725,-25.28104987,7.531997381,Blue Cross Blue Shield of Michigan Mutual Insurance Company,MI,79301872.92,84043000.54,Yes,11876518.15,1553522,2089156,627863417.5,680168155.8,404.1548285,437.8233175,54.09836522,-33.66848896,20.42987627,Blue Cross Blue Shield of Michigan Mutual Insurance Company,MI,45860204.98,117279775.3,Yes,27642465.18,1363121,2130923,609751133.1,678988028.2,447.319888,498.1128074,86.03768506,-50.79291941,35.24476565,53.22463781
260,353,78124,"Excellus Health Plan, Inc.",NY,25521165.66,33519366.16,Yes,26430399.01,309097,2348642,121544742,145165193.2,393.22524,469.6428409,108.4428712,-76.41760095,32.02527025,"Excellus Health Plan, Inc.",NY,20303711.74,44746473.2,Yes,-2719871.69,334217,2172610,147028138.9,169661735.3,439.9181936,507.6394537,133.8844918,-67.72126014,66.16323167,"Excellus Health Plan, Inc.",NY,6810910.87,27204905.43,Yes,-28032786.96,310171,2345481,135032997.9,139077347.2,435.350171,448.3892666,87.70937783,-13.03909553,74.6702823,-20.73349337
