,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,Not-For-Profit:_2014,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,2.16Totalincurredclaims7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,SGPremiumPMM_2014,SGCostsPMM_2014,SGRTPMM_2014,SGLossAPMM_2014,SGLossBPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,Not-For-Profit:_2015,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,2.16Totalincurredclaims7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,SGPremiumPMM_2015,SGCostsPMM_2015,SGRTPMM_2015,SGLossAPMM_2015,SGLossBPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,Not-For-Profit:,HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15,1.1Directpremiumwritten7HealthInsuranceSMALLGROUPTotalasof3/31/15,2.16Totalincurredclaims7HealthInsuranceSMALLGROUPTotalasof3/31/15,SGPremiumPMM,SGCostsPMM,SGRTPMM,SGLossAPMM,SGLossBPMM
118,85266,Hometown Health Providers Ins. Co. Inc.,NV,No,-318074.62,32964,13673183,9729000,414.7913785,295.1401529,-9.649151195,119.6512256,110.0020744,Hometown Health Providers Ins. Co. Inc.,NV,No,-1757923.69,60181,24500614,17587180,407.1154351,292.2380818,-29.21060949,114.8773533,85.66674382,"Hometown Health Providers Insurance Company, Inc",NV,No,-1995391.69,99773,38310142,28718895,383.9730388,287.8423521,-19.99931535,96.13068666,76.13137131
513,64255,Federated Mutual Insurance Company,SD,No,-87499.03,9524,4503027.6,4681821.671,472.8084418,491.5814438,-9.187214406,-18.77300199,-27.9602164,Federated Mutual Insurance Company,SD,No,-268825.85,7785,3943745.6,3969896.229,506.5826076,509.9417121,-34.53125883,-3.35910456,-37.89036339,Federated Mutual Insurance Company,SD,No,518907.85,6891,3761640.38,4232983.22,545.8772863,614.2770599,75.30225657,-68.39977362,6.902482949
88,10958,UnitedHealthcare Ins Co of River Valley,TN,No,-3226801.76,359188,134222992.8,99255134.9,373.6845128,276.3319902,-8.983601234,97.35252263,88.3689214,United Healthcare Ins Co of River Valley,TN,No,-4628908.57,482901,184828363,135699653.9,382.7458692,281.0092626,-9.585626391,101.7366067,92.15098028,UnitedHealthcare Insurance Company of the River Valley,TN,No,-5545932.81,652762,251119681.5,194356092.4,384.7032785,297.7441892,-8.496102423,86.95908938,78.46298695
60,83396,The Health Plan of the Upper Ohio Valley,OH,Yes,-262670.99,29460,10821313,9094990,367.3222335,308.7233537,-8.916191107,58.59887984,49.68268873,The Health Plan of the Upper Ohio Valley,OH,Yes,-306668.86,25050,10284278,8736003,410.55002,348.7426347,-12.24226986,61.80738523,49.56511537,The Health Plan of the Upper Ohio Valley,OH,Yes,-59141.79,23907,10053196,10209718,420.5126532,427.0597733,-2.473827331,-6.54712009,-9.020947421
13,66143,Federated Mutual Insurance Company,IL,No,-390516.48,44263,18575627.27,15664767.12,419.6648955,353.9020654,-8.822639225,65.76283013,56.9401909,Federated Mutual Insurance Company,IL,No,1306490.38,47122,20367084.02,22466697.87,432.2202797,476.7772563,27.72569882,-44.55697657,-16.83127775,Federated Mutual Insurance Company,IL,No,-343024.9,50532,23035805.67,18487666.25,455.8657023,365.8605686,-6.788270799,90.00513378,83.21686298
161,98905,CommunityCare HMO Inc.,OK,No,-1245374.77,141504,52898324.51,46308771.9,373.8291816,327.2612216,-8.800986333,46.56795999,37.76697365,Community Care HMO Inc.,OK,No,-1588829.22,154716,57656016,52017530,372.6571008,336.2129967,-10.26932715,36.44410404,26.17477688,CommunityCare HMO Inc.,OK,No,-6934924.82,194283,72063699,61858774,370.9212798,318.3951967,-35.69496466,52.52608308,16.83111842
44,49714,UnitedHealthcare Insurance Company,WY,No,-160678,18432,6705127.3,5814707.11,363.7764377,315.4680507,-8.71733941,48.30838704,39.59104763,United Healthcare Insurance Company,WY,No,-325977.41,17155,6823869.97,5304941.14,397.7773226,309.2358578,-19.00188925,88.54146488,69.53957563,UnitedHealthcare Insurance Company,WY,No,1358091.43,27085,12929107.96,13441374.18,477.3530722,496.2663533,50.14182869,-18.91328115,31.22854754
445,35783,"Humana Medical Plan, Inc.",FL,No,-6552473.44,764794,287535172.8,224407722.2,375.964211,293.4224408,-8.567631859,82.5417702,73.97413834,"Humana Medical Plan, Inc.",FL,No,-11511826.07,851617,337966610.5,253406296.7,396.8528229,297.5589927,-13.51760952,99.29383021,85.77622068,"Humana Medical Plan, Inc.",FL,No,-8475356.54,556617,245326489,183537458.7,440.7455917,329.7374293,-15.22654993,111.0081623,95.78161242
495,64701,Federated Mutual Insurance Company,MO,No,-752603.4,88427,30794055.92,26342486.14,348.2426852,297.9009368,-8.511013604,50.34174833,41.83073473,Federated Mutual Insurance Company,MO,No,-2366698.58,109462,40618094.84,32789526.21,371.0702786,299.551682,-21.62118891,71.51859668,49.89740778,Federated Mutual Insurance Company,MO,No,-2615175.44,110409,45785110.02,36856220.76,414.6863935,333.8153661,-23.68625239,80.87102736,57.18477497
134,85757,UnitedHealthcare Insurance Company,OK,No,-2256892.13,266759,104129211.4,73098139.59,390.3493843,274.0231429,-8.460416068,116.3262413,107.8658253,United Healthcare Insurance Company,OK,No,-144362.05,236945,95531819.51,66943909.77,403.1814113,282.5293202,-0.609263964,120.6520912,120.0428272,UnitedHealthcare Insurance Company,OK,No,-331381.33,217288,92012752.97,65708381.35,423.4598918,302.4022558,-1.525078835,121.057636,119.5325572
308,92499,Sharp Health Plan,CA,Yes,-953791.37,112929,39289431,36824423.63,347.9126796,326.0847402,-8.445938333,21.82793941,13.38200108,Sharp Health Plan,CA,Yes,-5238158.44,176700,62810594,53121556,355.4645954,300.6313299,-29.64436016,54.83326542,25.18890526,Sharp Health Plan,CA,Yes,-9546508.28,328423,121637584,97593172.1,370.3686526,297.1569351,-29.06772144,73.21171751,44.14399607
472,27357,"Health First Health Plans, Inc.",FL,No,-761118.31,90358,37592238.58,28549076.84,416.0366385,315.9551655,-8.423363842,100.081473,91.65810919,"Health First Health Plans, Inc.",FL,No,668492.53,86547,37306609.27,29298584.01,431.0560651,338.5280138,7.724040464,92.52805135,100.2520918,Health First Health Plans,FL,No,-1024411.33,49271,21560756.52,15560499.41,437.5952694,315.8145646,-20.7913647,121.7807049,100.9893402
485,96352,Federated Mutual Insurance Company,KS,No,-171528.97,20453,8328410.385,5529715.612,407.197496,270.3620795,-8.386494402,136.8354165,128.4489221,Federated Mutual Insurance Company,KS,No,-229788.82,22811,8856805.87,5635982.822,388.269075,247.0730271,-10.07359695,141.1960479,131.1224509,Federated Mutual Insurance Company,KS,No,-606141.63,22974,8978882.31,6164757.1,390.8279929,268.336254,-26.38380909,122.4917389,96.10792983
502,93696,Humana Health Plan Inc.,NV,No,-76054.9,9179,2793149.497,2632532.99,304.297799,286.7995413,-8.285750082,17.49825765,9.212507572,Humana Health Plan Inc.,NV,No,-48965.47,6414,2315253.35,2453983.158,360.9687169,382.5979355,-7.634154973,-21.62921858,-29.26337356,Humana Health Plan Inc.,NV,No,-236913.35,3066,1098360.158,471348.9341,358.2387991,153.7341598,-77.27115134,204.5046392,127.2334879
52,90762,UnitedHealthcare Insurance Company,NM,No,-677750.41,82407,35796621.08,24298078.19,434.3881112,294.8545414,-8.224427658,139.5335698,131.3091422,United Healthcare Insurance Company,NM,No,309179.06,81553,38743813.75,27034608.53,475.0752731,331.4974131,3.791142692,143.57786,147.3690027,UnitedHealthcare Insurance Company,NM,No,313275.66,63121,31394078.21,25865699.11,497.3634481,409.7796155,4.963097226,87.58383264,92.54692986
267,19898,"AvMed, Inc.",FL,Yes,-3118661.5,380802,150742989,114516701,395.8566105,300.7250513,-8.189719329,95.13155918,86.94183985,"AvMed, Inc.",FL,Yes,-3997943.28,434149,176145796,132684121,405.7265962,305.6188567,-9.208689367,100.1077395,90.89905014,"AvMed, Inc",FL,Yes,-7819786.24,568661,235512354,195796908.4,414.1524634,344.3121797,-13.75122655,69.84028375,56.08905721
203,71281,Regence BlueCross BlueShield Of Oregon,WA,Yes,-175111.08,21425,9759785,7521206,455.5325554,351.0481214,-8.173212602,104.4844341,96.31122147,Regence BlueCross BlueShield Of Oregon,WA,Yes,821632.25,11196,5596657,4463976,499.8800464,398.7116827,73.38623169,101.1683637,174.5545954,Regence BlueCross BlueShield Of Oregon(Clark County),WA,Yes,326963.22,19936,8403026,9292242,421.5001003,466.1036316,16.40064306,-44.6035313,-28.20288824
206,10940,"Health Net Health Plan of Oregon, Inc.",OR,No,-2324193.93,294506,107019956,82999503,363.3880328,281.8261869,-7.891838978,81.56184594,73.67000696,"Health Net Health Plan of Oregon, Inc.",OR,No,45710.69,257570,96271141,82830037,373.7669022,321.5826261,0.177468999,52.18427612,52.36174512,"Health Net Plan of Oregon, Inc.",OR,No,2264459.82,261877,92023016.74,81354316.06,351.3978575,310.6585002,8.647035899,40.73935733,49.38639323
4,24588,Federated Mutual Insurance Company,NC,No,-269581.82,34675,13946987.53,11324141.34,402.2202604,326.5794186,-7.774529776,75.64084182,67.86631204,Federated Mutual Insurance Company,NC,No,236116.42,42963,17591606,13697222.07,409.4594418,318.8143768,5.495808486,90.64506506,96.14087354,Federated Mutual Insurance Company,NC,No,-850145.02,49516,21622736.64,18280359.19,436.6818127,369.1808545,-17.16909726,67.50095828,50.33186101
465,89365,Federated Mutual Insurance Company,AR,No,-55065.97,7087,2709854.805,1857300.776,382.3698046,262.0715078,-7.769997178,120.2982967,112.5282996,Federated Mutual Insurance Company,AR,No,65077.18,11220,4127235.78,3893834.397,367.8463262,347.0440639,5.800105169,20.8022623,26.60236747,Federated Mutual Insurance Company,AR,No,-373879.22,14177,5056473.9,4949884.57,356.667412,349.1489434,-26.37223813,7.518468646,-18.85376949
93,34446,UnitedHealthcare Ins Co of River Valley,IL,No,-1540017.03,198542,68302804.02,54598568.27,344.02194,274.9975737,-7.75663099,69.02436638,61.26773539,United Healthcare Ins Co of River Valley,IL,No,-2373664.9,203050,74845540.75,58358967,368.6064553,287.411805,-11.69005122,81.19465033,69.50459911,UnitedHealthcare Insurance Company of the River Valley,IL,No,632447.67,224855,87184188.24,74326539.46,387.7351548,330.5531986,2.812691157,57.18195628,59.99464744
329,31616,Medica Insurance Company,MN,No,-4213354.17,551537,205318281.1,175435144.5,372.2656523,318.0840896,-7.639295587,54.1815628,46.54226721,Medica Insurance Company,MN,No,9261067.53,192529,84239091.78,72032246.3,437.5397565,374.1371238,48.10219515,63.40263275,111.5048279,Medica Insurance Company,MN,No,9613665.25,160705,73182694.74,65654476.39,455.3853006,408.5403465,59.82181793,46.84495411,106.666772
332,82120,Humana Insurance Company,TN,No,-1959826.68,257648,90525380.12,68190707.23,351.3529316,264.6661617,-7.606605446,86.6867699,79.08016445,Humana Insurance Company,TN,No,-2645066.63,343106,125411391.2,95906200.63,365.5179192,279.523531,-7.70918209,85.99438824,78.28520615,Humana Insurance Company,TN,No,307106.48,298969,118081026.1,92864509.16,394.9607688,310.615847,1.027218474,84.34492185,85.37214032
12,38499,"UnitedHealthcare of Louisiana, Inc.",LA,No,-97687.22,12949,6170198.11,3779766.91,476.4999699,291.8964329,-7.54399722,184.603537,177.0595397,"United Healthcare of Louisiana, Inc.",LA,No,-139379.33,11302,5160642.66,3790548.94,456.6132242,335.3874482,-12.33227128,121.225776,108.8935047,"UnitedHealthcare of Louisiana, Inc.",LA,No,847159.64,25041,11194809.72,9198892.6,447.0592117,367.3532447,33.83090292,79.70596701,113.5368699
213,27990,Aetna Life Insurance Company,NV,No,-1140094.88,154116,53411532.43,40930750.79,346.5670821,265.5840457,-7.397641257,80.98303641,73.58539516,Aetna Life Insurance Company,NV,No,672487.49,110659,44909204.7,34432602.25,405.8341816,311.1595284,6.077115192,94.67465321,100.7517684,Aetna Life Insurance Company,NV,No,2003327.8,105348,43854661.2,32446392.13,416.2837567,307.9924833,19.01628697,108.2912734,127.3075604
289,84251,Aetna Life Insurance Company,AZ,No,-3375392.32,456985,115413862.3,88144794.71,252.5550342,192.8833435,-7.386221255,59.67169073,52.28546948,Aetna Life Insurance Company,AZ,No,-4599781.33,421935,121674782,84061129.65,288.373285,199.2276764,-10.90163492,89.14560857,78.24397365,Aetna Life Insurance Company,AZ,No,1799959.4,375212,114890897.2,79088862.72,306.2026193,210.7844704,4.797179728,95.41814889,100.2153286
331,99663,"Coventry Health Care of Virginia, Inc",VA,No,-2031737.44,278477,91575007.88,72968716.14,328.8422666,262.0278017,-7.295889571,66.81446489,59.51857532,"Coventry Health Care of Virginia, Inc.",VA,No,-9528358.12,329571,118241062.7,93915897.76,358.7726551,284.9640829,-28.9113973,73.80857217,44.89717487,"Coventry Health Care of Virginia, Inc",VA,No,-1048188.41,16753,6236695.1,4930896.46,372.2733301,294.3291625,-62.56720647,77.94416761,15.37696114
233,96384,Cox Health Systems Insurance Company,MO,No,-164283.18,22942,7587705,5508852,330.7342429,240.1208264,-7.160804638,90.61341644,83.4526118,Cox Health Systems Insurance Company,MO,Yes,-1229766.58,31560,10896783,8577915.26,345.2719582,271.7970615,-38.96598796,73.4748967,34.50890875,Cox HealthPlans,MO,Yes,-1394119.54,40377,14517667,14906342,359.552889,369.1790376,-34.52756619,-9.62614855,-44.15371474
49,93187,Aetna Health Inc. (a PA corp.),VA,No,-670080.1,95972,33414503.3,25601086.11,348.1692921,266.7557841,-6.982037469,81.413508,74.43147053,Aetna Health Inc. (a PA corp.),VA,No,-8533686.28,70834,24709387.31,17867354.97,348.8351259,252.2426373,-120.4744371,96.59248864,-23.8819485,Aetna Health Inc. (a PA corp.),VA,No,-9438645.84,287697,106625411.2,84101854.98,370.6170422,292.3278831,-32.80759215,78.28915915,45.481567
180,20895,Humana Insurance Company,NV,No,-358637.74,51544,19086610.91,15589356.94,370.2974335,302.4475582,-6.957895002,67.84987525,60.89198025,Humana Insurance Company,NV,No,-1141023.21,31901,13243679.31,11179962.06,415.1493467,350.4580439,-35.76763142,64.69130278,28.92367136,Humana Insurance Company,NV,No,534684.37,12714,5761840.91,5171046.486,453.1886826,406.7206612,42.0547719,46.46802139,88.5227933
293,60536,"Avera Health Plans, Inc.",SD,No,-359596.3,52252,17786644,13827330.59,340.4012095,264.6277767,-6.881962413,75.77343279,68.89147037,"Avera Health Plans, Inc.",SD,No,-81015.67,48369,16174947,17086011,334.4073063,353.2430069,-1.674950278,-18.83570055,-20.51065083,"Avera Health Plans, Inc.",SD,No,791931.37,51732,18224371,16970062,352.2842921,328.0380036,15.30834628,24.24628856,39.55463485
357,95185,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",VA,Yes,-728218.07,106010,39626317,31582345,373.7979153,297.9185454,-6.869333742,75.87936987,69.01003613,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",VA,Yes,-1753706.42,107302,39591149,31973904,368.9693482,297.9805036,-16.34365082,70.98884457,54.64519375,"Kaiser Foundation Health Plan of the MidAtlantic States, Inc.",VA,Yes,-3171646.65,109760,42343061,33965477,385.778617,309.4522321,-28.89619761,76.32638484,47.43018723
287,75729,Geisinger Quality Options,PA,No,-2827499,412989,142727724.4,124687459.9,345.5969152,301.9147239,-6.846426902,43.68219129,36.83576439,Geisinger Quality Options,PA,No,-1613339.93,280427,118178645.4,93970964.82,421.4239192,335.0995618,-5.75315476,86.32435743,80.57120267,Geisinger Quality Options,PA,No,-584164.12,216806,99829794.68,83731633.17,460.4567894,386.2053318,-2.69440938,74.25145757,71.55704819
507,56073,Nippon Life Insurance Company of America,OH,No,-200278.3,29311,11124022.12,9009768.209,379.5169772,307.3852209,-6.832871618,72.13175637,65.29888475,Nippon Life Insurance Company of America,OH,No,-356412.77,5935,3112746.456,2647519.323,524.4728654,446.0858168,-60.05269924,78.38704853,18.33434928,Nippon Life Insurance Company of America,OH,No,11898.16,4602,2261382.568,2590063.538,491.3912577,562.8125897,2.585432421,-71.42133203,-68.83589961
31,76275,Aetna Health Inc. (a PA corp.),OK,No,-69215.87,10160,3842305.2,2916859.08,378.1796457,287.0924291,-6.81258563,91.08721654,84.27463091,Aetna Health Inc. (a PA corp.),OK,No,-184766.55,4471,1998861.58,1065181.33,447.0725967,238.2423015,-41.32555357,208.8302952,167.5047417,Aetna Health Inc. (a PA corp.),OK,No,-160873.47,2657,1120391.11,1042981.77,421.675239,392.5411253,-60.54703425,29.13411366,-31.41292059
34,22732,UnitedHealthcare Ins Co of River Valley,AR,No,-590630.26,88397,27762879.73,21973496.14,314.0703839,248.5773967,-6.681564533,65.49298721,58.81142267,United Healthcare Ins Co of River Valley,AR,No,-737381.21,99994,32648720.64,23669676.06,326.5067968,236.7109633,-7.374254555,89.79583355,82.42157899,UnitedHealthcare Insurance Company of the River Valley,AR,No,56688.96,135037,45365160,35253995.73,335.9461481,261.0691568,0.419803165,74.87699127,75.29679443
111,72375,"Optimum Choice, Inc.",MD,No,-765269.83,115280,48221000.86,29781385.01,418.2945946,258.3395646,-6.638357304,159.9550299,153.3166726,"Optimum Choice, Inc.",MD,No,-64708.03,97235,42703796.5,24724381.5,439.1813287,254.2745051,-0.665480845,184.9068237,184.2413428,"Optimum Choice, Inc.",MD,No,-2947755.59,114756,47338125.88,32065521.72,412.5111182,279.4234874,-25.68715875,133.0876308,107.400472
86,87698,CommunityCare Life & Health Insurance Co,OK,No,-437673.74,66286,26088013,22997679,393.5674652,346.9462481,-6.602808134,46.62121715,40.01840902,Community Care Life & Health Insurance Co,OK,No,-1132219.85,55597,22428022,19841068,403.403457,356.8729967,-20.36476519,46.53046028,26.16569509,CommunityCare Life & Health Insurance Co,OK,No,-1556478.29,57816,21509311,17948225,372.0304241,310.4369898,-26.92123789,61.59343434,34.67219645
65,90175,UnitedHealthcare Insurance Company,OR,No,-1310343.26,199773,72916121.79,53435885.3,364.9948781,267.4830197,-6.559160948,97.51185841,90.95269746,United Healthcare Insurance Company,OR,No,-533017.71,146375,57026497.57,38767875.14,389.5917853,264.853118,-3.641453185,124.7386673,121.0972141,UnitedHealthcare Insurance Company,OR,No,34142.28,132435,52154869.28,38567083.86,393.8148471,291.2151913,0.257804055,102.5996558,102.8574599
190,40788,Scott and White Health Plan,TX,Yes,-1609323.38,246275,75457298,63024924,306.3944696,255.9127967,-6.534659953,50.48167293,43.94701297,Scott and White Health Plan,TX,Yes,-4512866.63,251093,74357827,73746031.8,296.1365988,293.7000705,-17.97288905,2.436528298,-15.53636075,Scott and White Health Plan,TX,Yes,-14473480.33,242826,60796625,72481255.69,250.3711505,298.4905063,-59.60432709,-48.11935579,-107.7236829
20,94459,Coventry Health & Life Insurance Company,NC,No,-206038.72,31940,12016448,7894360.81,376.2194114,247.1622044,-6.45080526,129.057207,122.6064017,Coventry Health & Life Insurance Company,NC,No,-154381.2,15301,6115236.52,4717958.27,399.6625397,308.3431325,-10.08961506,91.31940723,81.22979217,Coventry Health and Life,NC,No,-326022.64,10145,4624814.82,2326393.23,455.8713475,229.3142661,-32.13628783,226.5570813,194.4207935
177,26539,"SHA, LLC DBA FirstCare Health Plans",TX,No,-367353,57678,18821888.59,15895136.09,326.326998,275.5840371,-6.36903152,50.74296092,44.3739294,"SHA, LLC DBA First Care Health Plans",TX,No,-926124.88,58012,19590281,,337.6935979,,-15.96436737,,,"SHA, LLC",TX,No,-1417544.26,115148,21324790,22944600,185.1946191,199.2618196,-12.31062858,-14.06720047,-26.37782905
8,68259,"UnitedHealthcare of Alabama, Inc.",AL,No,-59273.72,9583,3008863.55,2403457.36,313.9792915,250.8042742,-6.185298967,63.17501722,56.98971825,"United Healthcare of Alabama, Inc.",AL,No,-397175.98,8661,2918364.27,2063650.91,336.9546554,238.269358,-45.85798176,98.68529731,52.82731555,"UnitedHealthcare of Alabama, Inc.",AL,No,-1064013.58,14595,5106238.53,4205289.49,349.8621809,288.1322021,-72.90260911,61.72997876,-11.17263035
246,98894,Coventry Health and Life,OH,No,-555698.91,90091,34350405,28576961.83,381.2856445,317.2010726,-6.168195602,64.08457193,57.91637633,Coventry Health and Life,OH,No,1096038.61,77599,32272990.64,24123078.8,415.8944141,310.8684236,14.12439091,105.0259905,119.1503814,Coventry Health and Life,OH,No,592553.34,48344,22107092.34,18260893.37,457.2871988,377.7282263,12.25701928,79.55897257,91.81599185
509,27243,Federated Mutual Insurance Company,OK,No,-117688.7,19387,6912050.37,5524836.393,356.5301682,284.9763446,-6.070495693,71.55382354,65.48332785,Federated Mutual Insurance Company,OK,No,-492326.98,20746,7609111.86,6548332.564,366.7748896,315.6431391,-23.73117613,51.13175051,27.40057438,Federated Mutual Insurance Company,OK,No,-367576.39,18855,7827711.11,6381149.8,415.1530687,338.4327658,-19.49490268,76.72030284,57.22540016
506,96800,Federated Mutual Insurance Company,OH,No,-264945.16,44194,17072906.67,13417845.49,386.317298,303.6123793,-5.995048197,82.70491877,76.70987057,Federated Mutual Insurance Company,OH,No,-999288.99,50997,20739820.58,17198050.15,406.6870714,337.236507,-19.59505441,69.45056435,49.85550993,Federated Mutual Insurance Company,OH,No,863960.13,51493,23081074.09,20022660.19,448.2371214,388.8423706,16.77820539,59.39475074,76.17295613
429,49831,Premera Blue Cross,WA,Yes,-7510310.41,1271163,410290254,333762822,322.7676183,262.5649283,-5.908219803,60.20268998,54.29447017,Premera Blue Cross,WA,Yes,-16440582.27,1667756,582437279,492771490,349.234108,295.469775,-9.857906234,53.76433303,43.9064268,Premera Blue Cross,WA,Yes,-3250387.15,1814747,687808078,553037683,379.0104505,304.7464374,-1.791096583,74.26401311,72.47291653
432,98185,Blue Care Network of Michigan,MI,Yes,-5484016.17,944667,350173397,255316714,370.6844814,270.2716555,-5.805237369,100.4128259,94.60758853,Blue Care Network of Michigan,MI,Yes,2178690.19,859012,336309496.5,237606128.9,391.5073323,276.6039693,2.536274453,114.9033629,117.4396374,Blue Care Network of Michigan,MI,Yes,-19902786.04,849304,331496801.4,237445491,390.3158367,279.5765603,-23.4342309,110.7392764,87.3050455
197,82884,Aetna Health Inc. (a NJ corp.),NJ,No,-4701905.74,840752,352088172.1,266648607,418.7776801,317.1548887,-5.592500214,101.6227914,96.03029117,Aetna Health Inc. (a NJ corp.),NJ,No,-18109387.03,929182,401606952.4,307501467.5,432.2155965,330.9378222,-19.48960164,101.2777743,81.78817268,Aetna Health Inc. (a NJ corp.),NJ,No,-9662880.03,381747,172487858.5,133464628.6,451.8381507,349.6153961,-25.31226186,102.2227546,76.91049273
438,33871,"Keystone Health Plan East, Inc",PA,No,-7900229.63,1427814,604477066,499715914.9,423.3584108,349.9867034,-5.533094388,73.37170745,67.83861306,"Keystone Health Plan East, Inc.",PA,No,-4106693.9,1448425,639927262,516745492,441.8090422,356.7637206,-2.835282393,85.04532164,82.21003925,Keystone Health Plan East,PA,No,-10258625.79,1418378,660136713,493034164,465.4166329,347.6042099,-7.232645874,117.8124231,110.5797772
141,49116,UHC of California,CA,No,-2215283.01,407230,165917239.2,121360012.6,407.428822,298.0134386,-5.439881664,109.4153834,103.9755018,UHC of California,CA,No,-1290603.41,403312,170708196.7,124249203,423.2658505,308.0721699,-3.200012422,115.1936806,111.9936682,UHC of California,CA,No,-15840917.19,752476,313299507.8,236566313.5,416.3581401,314.3838654,-21.05172416,101.9742747,80.9225505
191,23307,"Humana Health Plan, Inc.",AZ,No,-750038.97,137933,40906031.07,31580879.01,296.5644992,228.9581102,-5.437705045,67.60638904,62.168684,"Humana Health Plan, Inc.",AZ,No,-1948641.42,143566,44719432.71,33178093.7,311.4904135,231.099938,-13.57314002,80.39047553,66.81733551,"Humana Health Plan, Inc.",AZ,No,-6031056.26,149687,50188176.33,33654380.49,335.2874754,224.8316854,-40.29111586,110.45579,70.16467415
415,21032,Kaiser Foundation Health Plan of Colo.,CO,Yes,-3582183.17,664202,252131904,191884377,379.6012418,288.8946089,-5.393213465,90.70663292,85.31341946,Kaiser Foundation Health Plan of Colo.,CO,Yes,951160.48,627193,241799979,190494669,385.5272285,303.7257575,1.516535548,81.801471,83.31800655,Kaiser Foundation Health Plan of Colorado,CO,Yes,-3316114.09,643960,247136971,182759020,383.7768976,283.8049258,-5.14956533,99.97197186,94.82240653
403,88102,PreferredOne Insurance Company,MN,No,-1029344.47,192143,56116598,56151535,292.0564267,292.2382548,-5.357179132,-0.181828118,-5.53900725,Preferred One Insurance Company,MN,No,-3077770.23,178184,61044684,53948434,342.5935213,302.7681161,-17.27298876,39.8254052,22.55241643,PreferredOne Insurance Company,MN,No,-5741279.42,185223,65587911,55551493,354.1024117,299.9168192,-30.99657937,54.1855925,23.18901314
514,83463,Federated Mutual Insurance Company,TN,No,-134889.4,25844,9503776.66,7328152.853,367.7362893,283.5533529,-5.219370067,84.18293635,78.96356628,Federated Mutual Insurance Company,TN,No,414552.78,29848,11258455.33,8615804.169,377.1929553,288.655996,13.8887959,88.53695929,102.4257552,Federated Mutual Insurance Company,TN,No,-967358.16,31077,12677363.47,9669600.2,407.9339534,311.1497313,-31.12778454,96.78422209,65.65643756
89,72850,UnitedHealthcare Insurance Company,IN,No,-3241006.75,629735,255806105.1,186280017.4,406.2123037,295.8069941,-5.146620007,110.4053097,105.2586897,United Healthcare Insurance Company,IN,No,-6771739.27,761207,313508265.1,241519487.2,411.8567815,317.2849004,-8.89605491,94.5718811,85.67582619,UnitedHealthcare Insurance Company,IN,No,-10746407.83,590464,266848492.7,197285354.7,451.9301646,334.1191922,-18.19993739,117.8109724,99.611035
492,20662,PHP Insurance Company,MI,No,-127949.2,25176,10360984,7339734,411.5421036,291.5369399,-5.082189387,120.0051636,114.9229743,PHP Insurance Company,MI,No,-40531.33,28751,12078602.55,10612905.91,420.1106935,369.131714,-1.409736357,50.97897951,49.56924316,PHP Insurance Company,MI,No,511519.6,25896,11258082.68,7787590.043,434.7421486,300.7255963,19.75284214,134.0165522,153.7693944
47,94968,UnitedHealthcare Insurance Company,KS,No,-768605.82,152843,53915152.65,43635963.49,352.7485894,285.495335,-5.028727649,67.25325439,62.22452674,United Healthcare Insurance Company,KS,No,-1525779.62,156743,57943648.72,43219975.64,369.6729597,275.7378361,-9.73427598,93.93512361,84.20084763,UnitedHealthcare Insurance Company,KS,No,-164494.8,155786,61476387.23,45906131.76,394.620744,294.6743081,-1.055902328,99.94643594,98.89053362
270,65598,Coventry Health Care Of Kansas Inc,KS,No,-713955.94,142891,44209876,32164567.19,309.3958052,225.098622,-4.996507408,84.29718324,79.30067583,Coventry Health Care Of Kansas Inc.,KS,No,-413025.79,80281,35083671.4,24534337.1,437.0108917,305.6057735,-5.144751436,131.4051183,126.2603668,Coventry Health Care,KS,No,-618249.46,42190,17195859.31,9733057.42,407.581401,230.6958384,-14.65393363,176.8855627,162.2316291
81,96667,Harvard Pilgrim Health Care Inc.,ME,Yes,-814362.12,164079,56715356,47698221.85,345.6588351,290.7027825,-4.963231858,54.95605257,49.99282071,Harvard Pilgrim Health Care Inc.,ME,Yes,-1027526.86,183217,67920149.96,53840813.28,370.7087768,293.8636332,-5.608250654,76.84514363,71.23689297,Harvard Pilgrim Health Care Inc.,ME,Yes,-3013138,177915,66290063.59,54273869,372.5940117,305.0550488,-16.93582891,67.53896293,50.60313402
