,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015
134,40442,Freedom Life Insurance,FL,197590.16,34088.7,,14676,,3968126,3457885,Freedom Life Insurance,FL,441431.46,544782.95,,10292,,3189781,4324035
135,27357,"Health First Health Plans, Inc.",FL,,,-761118.31,,90358,,,"Health First Health Plans, Inc.",FL,3432440.18,814327.97,668492.53,99351,86547,40411166.72,40149485.54
136,77150,"Health First Insurance, Inc.",FL,1475534.84,-723613.84,-391901.29,44014,8198,16295450.67,16609133.14,"Health First Insurance, Inc.",FL,649761.09,700760.1,-210737.71,18268,6960,7453747,7254775.728
137,30252,"Health Options, Inc.",FL,61800974.07,32115302.73,-1315788.63,866970,491056,342910967.3,389540888,"Health Options, Inc.",FL,49987278.15,81745567.9,-4176090.84,1110889,496403,481493023.5,549283125.5
138,99308,"Humana Health Insurance Co of FL, Inc.",FL,547055.66,185940.22,-116650.43,332719,7632,74908404.3,58260377.32,"Humana Health Insurance Co of FL, Inc.",FL,1206801.28,-2261208.38,-124082.7,231548,7886,60196665.78,44044679.38
139,15980,Humana Insurance Company,FL,525858,483961.79,,340137,,61957108.45,44168143.43,Humana Insurance Company,FL,0,-279.3,,37,,44598.83,-11362466.14
140,35783,"Humana Medical Plan, Inc.",FL,119899412.3,-80860989.32,-6552473.44,1990616,764794,614620857.2,646221477.6,"Humana Medical Plan, Inc.",FL,136834264.8,-135056370.8,-11511826.07,3470273,851617,1188746061,1144224614
141,41240,John Alden Life Insurance Company,FL,,,-890.28,3453,439,1287342,1027365,John Alden Life Insurance Company,FL,,,6445.09,2136,247,835630,581247
142,54172,"Molina Healthcare of Florida, Inc.",FL,413077.75,664162.18,,6429,,2382576,3070584,"Molina Healthcare of Florida, Inc.",FL,19021408.95,-218903904.1,,1722261,,586687204,333655952.1
143,80779,"Neighborhood Health Partnership, Inc.",FL,,,-171191.73,10782,617289,6051415.12,6242101.24,"Neighborhood Health Partnership, Inc.",FL,,,-338156.26,7636,554192,4216909.92,3195481.36
144,51398,"Preferred Medical Plan, Inc.",FL,19151683.89,-97122695.74,,944021,939,288527289.5,213208157.6,"Preferred Medical Plan, Inc.",FL,11390404.66,-62496825.44,,741265,2447,248150190,203700851
145,86382,Sunshine State Health Plan,FL,0,-198355.63,,3460,,1302976.93,532646.8603,Sunshine State Health Plan,FL,1184424.15,-26584661.51,,187352,,64261869.35,27042932.65
146,62662,Time Insurance Company,FL,24416837.37,11930582.36,-119621.8,298430,1202,84718475,120565819,Time Insurance Company,FL,76121282.95,35074237.06,-112612.6,778753,2514,316317240,490160774
147,43839,UnitedHealthcare Insurance Company,FL,,,3844812.86,60049,1461398,34642096.64,42186280.01,United Healthcare Insurance Company,FL,,,4051544.19,38845,1280849,21615308.07,17434902.57
148,17341,UnitedHealthcare Life Insurance Company,FL,7942642.06,6516021.26,,63489,,28607461.86,41159963.06,United Healthcare Life Insurance Company,FL,14736590.26,10189460.6,,197146,,81792203.05,116989596.1
149,68398,"UnitedHealthcare of Florida, Inc.",FL,,,1650597.6,8953,709422,5326480.94,6733998.3,"United Healthcare of Florida, Inc.",FL,75479361.88,14572435.15,-4380861.24,1434483,753362,550885456.1,697124928.4
150,82824,Aetna Health Inc. (a GA corp.),GA,,,-1390717.91,3607,303393,1861258.73,2757745.26,Aetna Health Inc. (a GA corp.),GA,,,-4486504.66,940354,684990,259367562.6,233200810.6
151,83978,Aetna Life Insurance Company,GA,2623982.14,-500123.69,-3143639.65,325926,270504,71679839.36,65252933.38,Aetna Life Insurance Company,GA,6808764.85,-14644018.02,3485222.28,248398,365173,80536607.95,68980935.36
152,83761,Alliant Health Plans,GA,7265449.74,2745962.25,-1464662.42,68272,87967,29758360,37314070,Alliant Health Plans,GA,10071727.5,4679043.57,22552.36,151336,65417,55822683.76,78554433
153,82894,"Athens Area Health Plan Select, Inc.",GA,,,-637297.59,,,,,,,,,,,,,
154,63411,"Blue Cross and Blue Shield of Georgia, Inc.",GA,,,1729140.2,416561,149454,161787329,126568608.8,"Blue Cross and Blue Shield of Georgia, Inc.",GA,,,2862053.98,260103,99385,110547996,91511228.51
155,49046,"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,34663581.85,-3958982.3,2304375.99,1094274,1401272,313627768,267903151,"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,31999615.68,-15389290.74,2806937.56,1329937,1292437,388444221.1,358677256.3
156,24775,Celtic Insurance Company,GA,0,7411.32,,59,,45278,44767.75976,Celtic Insurance Company,GA,0,1983.9,,18,,15253.3,17190.80201
157,50491,Cigna Health and Life Insurance Company,GA,3655883.02,3395529.35,,20959,46462,8089063,16033152,Cigna Health and Life Insurance Company,GA,3610522.83,3938467.33,,44469,40411,16818343,23889040
158,65890,Coventry Health and Life,GA,,,-4418.49,,18018,,,Coventry Health and Life,GA,,,-233155.74,,11063,,
159,47783,"Coventry Health Care of Georgia, Inc.",GA,3255942.16,-3608858.91,2304241.03,495746,791426,82403790,67802115.7,"Coventry Health Care of Georgia, Inc.",GA,20317351.3,-58546619.35,-1319184.49,,,,
160,38835,Federated Mutual Insurance Company,GA,,,-55911.28,91,36366,52560.4,204532.76,Federated Mutual Insurance Company,GA,,,-818531.15,59,44887,31164,103869.42
161,72796,Freedom Life Insurance,GA,0,-212.84,,1253,,243914,43543,Freedom Life Insurance,GA,0,370.93,,1023,,223213,152912
162,93332,"Humana Employers Health Plan of Georgia, Inc.",GA,194926953.8,64808.72,-6158.42,2871577,1208242,816862196.8,1037291728,"Humana Employers Health Plan of Georgia, Inc.",GA,213566269.9,68541368.02,-2579052.1,3442073,1307376,1157687890,1574761849
163,37001,Humana Insurance Company,GA,1866817.18,2184957.04,721767.42,28543,8348,7751973.47,8576659.711,Humana Insurance Company,GA,1390112.88,1622203.69,308751.17,15247,10003,6050468.51,8094148.912
164,50313,John Alden Life Insurance Company,GA,,,159888.81,8512,7460,2261645,566719,John Alden Life Insurance Company,GA,,,123868.75,6138,4070,1688342,1012820
165,89942,Kaiser Foundation Health Plan of Georgia,GA,7879843.09,-745460.89,-2820212.21,292357,265388,86535871,85526652,Kaiser Foundation Health Plan of Georgia,GA,8692894.13,2627520.08,-2393268.87,263617,242609,92779598,98734595
166,82302,Kaiser Permanente Insurance Company,GA,,,-14361.39,,3962,,,Kaiser Permanente Insurance Company,GA,,,54610.53,,1675,,
167,12442,Nippon Life Insurance Company of America,GA,,,-113027.35,,14058,,,Nippon Life Insurance Company of America,GA,,,130774.07,,3505,,
168,45495,Peach State Health Plan,GA,752278.28,-3689629.38,,45349,,14938432.09,9247521.498,Peach State Health Plan,GA,2158724.63,-13768906.67,,223797,,67911724.16,43566063.28
169,20544,Time Insurance Company,GA,8301134.79,4104599.26,462396.82,165411,31215,39635958,44495926,Time Insurance Company,GA,12630285.95,10590785.72,-237705.68,176902,23198,59247314,86145427
170,30552,UnitedHealthcare Ins Co of River Valley,GA,,,-510878.36,880,177314,338908.4,299427.22,United Healthcare Ins Co of River Valley,GA,,,-1784203.76,873,190825,348635.46,588424.27
171,13535,UnitedHealthcare Insurance Company,GA,,,2602799.56,565,312624,373157.79,778206.44,United Healthcare Insurance Company,GA,,,4168453.84,270,341405,243554.01,163690.47
172,43802,"UnitedHealthcare of Georgia, Inc.",GA,,,-123324.74,178,44914,134296.41,43101.27,"United Healthcare of Georgia, Inc.",GA,10987380,9760768.12,-111617.91,126026,31034,53132280.58,89861489.51
173,14479,Family Health Hawaii mbs,HI,,,-541621.36,,,,,Family Health Hawaii mbs,HI,,,-462123.43,,,,
174,56682,Hawaii Medical Assurance Association,HI,,,-213033.45,,228322,,,Hawaii Medical Assurance Association,HI,,,662917.71,,213566,,
175,18350,Hawaii Medical Service Association,HI,13001803.35,10430372.28,5740424.58,207688,1093845,58730826,70996892,Hawaii Medical Service Association,HI,16197585.19,15467100.5,7322488.29,308670,736432,91329533,125172066
176,60612,"Kaiser Foundation Health Plan, Inc.",HI,4687278.77,-10430372.26,-4366914.44,185604,321645,47878943,49630666,"Kaiser Foundation Health Plan, Inc.",HI,5420682.06,-15467100.5,-6719908.37,226746,325505,61802512,67622713
177,54179,UnitedHealthcare Insurance Company,HI,,,1398.35,,89,,9339.28,United Healthcare Insurance Company,HI,,,-24645.33,4,243,836,
178,95366,University Health Alliance (UHA),HI,,,-620253.71,,319477,,,University Health Alliance (UHA),HI,,,-778728.87,,282975,,
179,74980,"Avera Health Plans, Inc.",IA,37384.36,-46538.07,-8630.65,448,8220,207067,307296.15,"Avera Health Plans, Inc.",IA,274092.1,435753.94,-22573.51,1474,6031,615416,729492
180,87194,Celtic Insurance Company,IA,0,-1222.36,,377,,80853,138347.0115,,,,,,,,,
181,71268,CoOportunity Health,IA,24918368.43,7585020.87,-3442183.75,202033,120387,77581782.78,146939182.5,CoOportunity Health,IA,504598.26,-1753954.62,-3537357.91,10554,18569,4079846.93,5848206.17
182,51820,Coventry Health and Life Insurance Co.,IA,,,-19282.26,24,29873,11844,1828.41,Coventry Health and Life Insurance Co.,IA,0,,-13857.81,29,11476,15787.94,18378.66
183,18973,Coventry Health Care of Iowa Inc.,IA,13395052.4,-9236606.28,-142786.86,363736,73989,90284473.3,115208838,Coventry Health Care of Iowa Inc.,IA,23503386.5,-10780079.07,459305.01,616196,44953,201598194.8,218553382.6
184,41397,Federated Mutual Insurance Company,IA,,,-24092.66,,27096,,,Federated Mutual Insurance Company,IA,,,-76811.45,,23378,,
185,27651,"Gundersen Health Plan, Inc.",IA,97464.02,-19844.29,-46725.06,382,3587,237279,431160,"Gundersen Health Plan, Inc.",IA,169678.49,160860.73,26939.77,739,1294,408588,840584
186,77638,"Health Alliance Midwest, Inc.",IA,,,-19846.16,,11714,,,"Health Alliance Midwest, Inc.",IA,,,-8581.91,,7678,,
187,67580,John Alden Life Insurance Company,IA,,,-63213.98,2843,303,864182,518108,John Alden Life Insurance Company,IA,,,39118.81,1768,201,611530,638330
188,50735,Medical Associates Health Plans,IA,,,-285469.43,12,27522,16023,30588,Medical Associates Health Plans,IA,0,,370973.92,12,26641,18039,20933
189,51474,Pekin Life Insurance Company,IA,,,-61839.36,,1854,-1154,5657,Pekin Life Insurance Company,IA,,,29025.45,,1503,,
190,85930,Sanford Health Plan,IA,,,36341.21,,1964,,,Sanford Health Plan,IA,,,-19387.07,,2390,,
191,48569,Standard Security Life,IA,,,-2102.24,35,306,8619,598,,,,,,,,,
192,68184,Time Insurance Company,IA,1242068.11,-338678.1,-13859.22,47208,569,13237477,13766098,Time Insurance Company,IA,790452.44,-244924.54,-47915.07,36399,331,12243011,9924785
193,88678,UnitedHealthcare Insurance Company,IA,,,111696.1,510,123325,251261.29,77075.44,United Healthcare Insurance Company,IA,,,-608397.92,521,121353,186913.12,156641.77
194,56610,"UnitedHealthcare Plan of the River Valley, Inc.",IA,,,-54442.57,1351,205835,541263.93,213353.63,"United Healthcare Plan of the River Valley, Inc.",IA,,,855194.75,608,149935,237862.13,74051.1
195,25896,Wellmark Health Plan of Iowa,IA,782563.16,-2547979.51,501033.39,81794,227104,14314445,11937232,Wellmark Health Plan of Iowa,IA,1964191.81,-4391485.66,-1170299.82,121898,253629,25305558,32017398
196,72160,Wellmark Inc.,IA,13566797.89,4605847.67,3535403.52,1679290,960142,468125938,429710822,Wellmark Inc.,IA,15298546.8,16573829.24,3724624.74,1505991,1180164,466896242,470969260
197,61175,Aetna Health of Utah Inc.,ID,18151.34,-24771.68,-157276.56,721,16326,149524,195892.95,Altius Health Plans Inc.,ID,14692.05,-16255.24,-174731.4,337,1652,60670.37,28072.34
198,61589,"Blue Cross of Idaho Health Service, Inc.",ID,46067383.55,-7228265.36,557788.36,1042265,476090,257383419,301202622.5,"Blue Cross of Idaho Health Service, Inc.",ID,38715261.37,-5152221.99,2750572.03,1019070,499500,290413107,366301108.4
199,59765,BridgeSpan Health Company,ID,712878.62,574321.44,,4960,,1425086,2866986,BridgeSpan Health Company,ID,724349.19,-37955.58,,11749,,3156976,5057888
200,52156,John Alden Life Insurance Company,ID,,,45076.99,429,2136,106701,5292,John Alden Life Insurance Company,ID,,,9713.17,270,795,83730,14761
201,60597,PacificSource Health Plans,ID,2266284.66,663249.2,-228325.54,92174,72031,18851283,19724797.9,Pacific Source Health Plans,ID,807479.44,600458.28,-80877.14,34541,21577,7143434,8342078.867
202,44648,Regence Blue Shield of Idaho,ID,282450.45,371605.98,1175263.46,359158,308078,42153596,31134872,Regence Blue Shield of Idaho,ID,643839.26,1002953.94,-831183.51,126390,272370,31416377,20804518
203,26002,SelectHealth,ID,22446618.57,5450923.74,-1392526.68,205994,64205,56856522,108593032,Select Health,ID,19459263.73,9855840.04,-1382800.26,278361,116813,81043959,154031972
204,28218,Time Insurance Company,ID,510134.56,192936.56,,11748,12822,2983605,2713434,Time Insurance Company,ID,199027.79,137386.95,-45007.5,7920,11596,2280755,1914234
205,99129,Aetna Health Inc. (a PA corp.),IL,,,-370976.96,331,14005,142331.98,205175.22,Aetna Health Inc. (a PA corp.),IL,,,-313297.56,29,9173,538.16,4345.89
206,72547,Aetna Life Insurance Company,IL,917024.2,125878.03,-719734.14,91336,262696,26015250.74,22909464.09,Aetna Life Insurance Company,IL,814606.14,-670691.43,-1111838.73,36698,185509,12785277.03,10256028.67
207,36096,Blue Cross Blue Shield of Illinois,IL,277754457.9,-10823647.68,4303605.47,5537415,4156218,1644254990,1902696433,Blue Cross Blue Shield of Illinois,IL,283514429,23056950.67,10877027.26,6478135,4030984,2068327690,2620797653
208,27833,Celtic Insurance Company,IL,0,15156.6,,4359,,1074419,805083.773,Celtic Insurance Company,IL,0,-76.03,,24,,31253.3,60705.37639
209,35670,Coventry Health & Life Co.,IL,2168704.98,-2604833.08,-400513.48,64001,98945,16645122,13080518.26,Coventry Health & Life Co.,IL,1886166.5,-644379.33,458501.8,80734,83079,21936657.94,17308858.94
210,96601,"Coventry Health Care of Illinois, Inc.",IL,6155110.05,-3262695.3,-1048560.53,111531,84585,33218247.82,34897693.24,"Coventry Health Care of Illinois, Inc.",IL,6783435.61,-5367684.26,127525.13,168861,61975,52262152.79,50920827.36
211,66143,Federated Mutual Insurance Company,IL,,,-390516.48,12,44263,14551.92,8568.05,Federated Mutual Insurance Company,IL,,,1306490.38,12,47122,14551.92,3803.39
212,82506,Freedom Life Insurance,IL,57607.05,59844.74,,4321,,968052,1273399,Freedom Life Insurance,IL,38014.98,26867.72,,3229,,740957,602404
213,20129,"Health Alliance Medical Plans, Inc.",IL,4523529.04,2597374.35,-998963.73,200255,251994,61942668,64550679,"Health Alliance Medical Plans, Inc.",IL,9489886.93,-1326442.96,-1104554.13,275330,221076,92073345,102635610
214,58288,"Humana Health Plan, Inc.",IL,1706900.43,614409.67,-1028302.66,14469,58894,5807766.545,9015660.135,"Humana Health Plan, Inc.",IL,434826.64,730433.28,-1525019.48,12865,44797,4870781.62,4513915.877
215,68303,Humana Insurance Company,IL,8206407.61,8268175.79,4255065.52,337863,590776,81473162.42,84036077.38,Humana Insurance Company,IL,3778188.26,4859821.84,1632766.92,86198,397474,30799902.73,25580582.55
216,57020,John Alden Life Insurance Company,IL,,,183726.24,9135,13747,2898110,2057822,John Alden Life Insurance Company,IL,,,-167167.35,5992,7613,2096598,1271982
217,79763,Land of Lincoln Mutual Health Insurance Company,IL,4808906.25,816860.44,-390929.05,30733,2616,11019957,19901363.37,Land of Lincoln Mutual Health Insurance Company,IL,18123842.55,-22604098.38,-9219351.96,414794,91889,127889882.8,183230368.4
218,59311,Madison National Life,IL,,,-3535.77,275,8010,52150,4778,Madison National Life,IL,,,-3428.71,,18,,
219,24301,Medical Associates Health Plans,IL,,,-131881.33,,3342,,,Medical Associates Health Plans,IL,,,-348670.8,,3436,,
220,53586,Nippon Life Insurance Company of America,IL,,,-42724.33,,152,,,Nippon Life Insurance Company of America,IL,,,-18665.99,,119,,
221,18389,Pekin Life Insurance Company,IL,,,-52688.31,114,39821,2258,5045,Pekin Life Insurance Company,IL,,,-476618.51,96,42936,14461,
222,40448,Standard Security Life,IL,,,-28.68,358,211,110389,35600,,,,,,,,,
223,67807,Time Insurance Company,IL,6649598.67,4193476.5,20402.52,195256,15244,50670223,53969345,Time Insurance Company,IL,3751122.34,5250022.24,-25545.56,117846,9287,36490055,37441924
224,92476,UnitedHealthcare Ins Co of Illinois,IL,,,-700664.41,3578,863764,2297926.08,1470998.13,United Healthcare Ins Co of Illinois,IL,,,4056740.92,3303,721188,1841854.78,1709451.63
225,34446,UnitedHealthcare Ins Co of River Valley,IL,,,-1540017.03,1800,198542,747975.75,307176.16,United Healthcare Ins Co of River Valley,IL,,,-2373664.9,2645,203050,1057632.37,416438.84
226,42529,"UnitedHealthcare of Illinois, Inc.",IL,,,-724765.7,21,40461,7232.25,10151.15,"United Healthcare of Illinois, Inc.",IL,,,-1185146.24,12,35480,4451.16,19587.4
227,58239,"UnitedHealthcare Plan of the River Valley, Inc.",IL,,,-217997.08,115,4096,68261.06,24415.27,"United Healthcare Plan of the River Valley, Inc.",IL,,,-586082.45,128,5641,40386.17,8992.64
228,32378,Aetna Life Insurance Company,IN,,,-649454.74,962,15430,364727.03,257350.01,Aetna Life Insurance Company,IN,,,-313624,561,12914,230269.61,60378.7
229,36373,All Savers Insurance Company,IN,,,-425165.15,,43943,,,All Savers Insurance Company,IN,27281709.27,13324209.36,-48636.23,310475,25360,143149170.8,191255324.2
230,17575,Anthem Ins Companies Inc(Anthem BCBS),IN,63611127.93,-35299047.7,5862596.41,1656793,2119317,586730639.5,473768725.8,Anthem Ins Companies Inc.(Anthem BCBS),IN,57453698.83,-13429318.84,6782799.4,1348881,1731779,538041022.9,494138475.3
231,76179,Celtic Insurance Company,IN,0,-7885.97,,39,,50963,16460.11399,Celtic Insurance Company,IN,0,-8090.12,,158525,,62672128.89,41910124.08
232,35065,Coordinated Care Corporation Indiana,IN,102697.05,-323051.82,,6286,,2896018.487,1946143.986,Coordinated Care Corporation Indiana,IN,3089790.64,-8064367.37,,,,,
233,11104,Federated Mutual Insurance Company,IN,,,-22411.92,17,109683,10833.64,1163.2,Federated Mutual Insurance Company,IN,,,-542240.33,,124892,,
234,43442,Humana Health Plan,IN,,,-19667.22,,6121,,,Humana Health Plan,IN,,,-102658.68,,5118,,
235,99791,Humana Insurance Company,IN,15014843.87,12712802.22,28264.72,117992,143300,35065382.65,52271674.78,Humana Insurance Company,IN,9599228.21,8411678.81,-627510.77,105258,150375,36172211.59,57228856.87
236,95074,John Alden Life Insurance Company,IN,,,-124424.43,9516,10937,2263435,2807514,John Alden Life Insurance Company,IN,,,-241241.52,6522,5735,1705257,1170953
237,85320,"MDwise, Inc.",IN,17158478.6,18423632.06,,269970,,128950539,125305182.5,,,,,,,,,
238,43499,Medical Mutual of Ohio,IN,,,-265136.19,,15339,-22130,,,,,,,,,,
239,98761,Nippon Life Insurance Company of America,IN,,,-117653.72,,11926,,,Nippon Life Insurance Company of America,IN,,,-153115.64,,4215,,
240,79828,Pekin Life Insurance Company,IN,,,-71406.41,12,14735,-23465,4154,Pekin Life Insurance Company,IN,,,-183612.65,12,13950,22,
241,50816,"Physicians Health Plan of Northern Indiana, Inc.",IN,10350382.87,-4011882.59,115029.27,140344,312530,43942528,47020160,"Physicians Health Plan of Northern Indiana, Inc.",IN,7080052.99,-7085738.88,2912178.01,111408,267643,40754310,43521941.03
242,67920,Southeastern Indiana Health Organization,IN,,,-840621.54,,80965,,,Southeastern Indiana Health Organization,IN,216799.07,-233538.83,-852678.23,5900,66436,2624740.62,2069099.3
243,50442,Standard Security Life,IN,,,-17085.65,50,6764,1397,1208,Standard Security Life,IN,,,-27473.51,,591,,
244,91842,Time Insurance Company,IN,15491452.97,8505433.96,-90416.73,176875,36418,51102791,69262776,Time Insurance Company,IN,12099166.58,15394607.15,472972.29,150303,20912,55542965,84176799
245,62052,Trustmark Life Insurance Company,IN,,,39262.67,,12726,,,,,,,,,,,
246,72850,UnitedHealthcare Insurance Company,IN,,,-3241006.75,1149,629735,694697.79,469168.13,United Healthcare Insurance Company,IN,,,-6771739.27,2194,761207,1022172.57,749367.48
247,35755,US Health and Life Insurance Company,IN,,,-160702.61,,18115,,,US Health and Life Insurance Company,IN,,,-150173.33,,10466,,
248,84600,Aetna Life Insurance Company,KS,,,-266018.93,4206,3739,973126.74,433125.62,Aetna Life Insurance Company,KS,,,745826.49,2813,6579,690716.26,398728.39
249,94248,Blue Cross and Blue Shield of Kansas City,KS,11523299.72,8092802.17,1450193.47,332440,167621,80534884.03,87930153.72,Blue Cross and Blue Shield of Kansas City,KS,10237463.22,12904886.1,827921.82,309590,114221,86715627.11,103606226.8
250,18558,"Blue Cross and Blue Shield of Kansas, Inc.",KS,25958565.69,7698173.07,1056774.58,650169,1305258,208136266,235999821,"Blue Cross and Blue Shield of Kansas, Inc.",KS,22071027.01,17980150.06,1209308.94,692644,1169721,220132355,284277498
251,34368,Celtic Insurance Company,KS,0,3792.7,,75,,24456,13235.1784,Celtic Insurance Company,KS,0,4300.78,,36,,26610.16,80378.0794
252,61430,Coventry Health and Life,KS,18150600.47,-10156545.5,-84693.06,604296,102777,120717982,136996020.5,Coventry Health and Life,KS,19219397.06,-18755986.82,-684315.4,641288,66865,163491388.5,187931271.1
253,65598,Coventry Health Care Of Kansas Inc,KS,6787834.35,-5910292.03,-713955.94,124536,142891,29541695.56,37457719.59,Coventry Health Care Of Kansas Inc.,KS,6205764.17,-1458451.11,-413025.79,165451,80281,45094200.14,55453253.69
254,96352,Federated Mutual Insurance Company,KS,,,-171528.97,,20453,,,Federated Mutual Insurance Company,KS,,,-229788.82,,22811,,
255,54822,Freedom Life Insurance,KS,0,-230.08,,1062,,193454,302598,Freedom Life Insurance,KS,0,12212.08,,857,,175437,148699
256,49857,"Humana Health Plan, Inc.",KS,,,-125193.09,,2489,,,"Humana Health Plan, Inc.",KS,0,,37672.29,,2181,,
257,19968,Humana Insurance Company,KS,385045.35,97760.97,-291686.41,65146,183283,11305627.63,9476517.522,Humana Insurance Company,KS,639450.47,129998.03,453059.45,52893,210867,10922316.9,11120538.07
258,98618,John Alden Life Insurance Company,KS,,,-75807.36,1014,3222,347233,181637,John Alden Life Insurance Company,KS,,,109791.51,427,1226,175461,184816
259,71122,Time Insurance Company,KS,2664586.18,174538.76,-9478.41,52020,6526,13997862,17997167,Time Insurance Company,KS,1368746.67,838285.82,-22779.35,29203,655,10792425,11634598
260,94968,UnitedHealthcare Insurance Company,KS,,,-768605.82,262,152843,154699.26,74288.04,United Healthcare Insurance Company,KS,,,-1525779.62,401,156743,197729.86,44840.81
261,77029,All Savers Insurance Company,KY,,,-3311.9,,2453,,4490.35,All Savers Insurance Company,KY,,,-49.32,,4,,
262,36239,Anthem Health Plans of KY(Anthem BCBS),KY,10851899.04,4889935.19,2798476.94,1016969,990852,276713823.7,219708615.8,Anthem Health Plans of KY(Anthem BCBS),KY,15230315.39,3129303.34,4368115.21,1020298,809561,297745092.3,253014028.1
263,40586,"Bluegrass Family Health, Inc.",KY,,,-1254224.27,82,71709,28409,53958,"Bluegrass Family Health, Inc.",KY,,,-1208814.63,51,57606,18184,123278.5283
264,15411,"Humana Health Plan, Inc.",KY,7877805.71,1152387.48,-1929958.7,301919,547482,59580665.13,64919042.08,"Humana Health Plan, Inc.",KY,6821351.04,3404519.29,-1964729.71,189064,624026,51957088.49,55892517.14
265,33734,John Alden Life Insurance Company,KY,,,-22525.81,1094,925,240116,957758,John Alden Life Insurance Company,KY,,,39912.04,916,474,180760,94276
266,77894,Kentucky Health Cooperative,KY,58086349.7,-7829059.51,-49429.47,586561,1983,177167712,293489348,Kentucky Health Cooperative,KY,35150774.64,-2353554.57,-471751.15,623708,3394,221493442.3,324284775.7
267,19503,Time Insurance Company,KY,2528454.66,1786736.84,196961.32,44888,7273,8834919,13511722,Time Insurance Company,KY,1692781.9,1187533.23,-16224.72,35805,6190,8818172,13346144
268,23671,"UnitedHealthcare of Kentucky, Ltd.",KY,,,312802.38,608,77434,198645.88,126464.84,"United Healthcare of Kentucky, Ltd.",KY,,,-331779.58,216,65556,117157.12,104418.16
269,45920,"UnitedHealthcare of Ohio, Inc.",KY,,,-48790.45,350,25773,129781.03,80792.11,"United Healthcare of Ohio, Inc.",KY,,,-293318.64,314,23206,88014.12,25073.73
270,81941,Aetna Health Inc. (a LA corp.),LA,1125984.52,-2764603.7,-120226.85,149620,85123,27002700,25513962.18,"Coventry Health Care of Louisiana, Inc.",LA,1301311.45,-9447131.62,-727200.2,78262,53216,19409194.68,12798652.92
271,14030,Aetna Life Insurance Company,LA,,,-11121.47,1243,16983,566848.84,503613.04,Aetna Life Insurance Company,LA,,,20110.13,778,15659,423520.1,166012.12
272,93653,All Savers Insurance Company,LA,,,-6296.82,,1840,,,All Savers Insurance Company,LA,,,-20620.65,,177,,
273,22381,Coventry Health and Life,LA,,,-37335.05,,2852,,,Coventry Health and Life,LA,,,-65433.61,,2099,,
274,19913,Freedom Life Insurance,LA,0,72093.27,,208,,71333,249639,Freedom Life Insurance,LA,215088.93,235529.13,,322,,180964,1301182
275,19636,"HMO Louisiana, Inc.",LA,11532268.15,-12245987.34,-674763.59,337975,562886,124336446,107922906,"HMO Louisiana, Inc.",LA,18992557.99,-30654005.69,-1581186.14,599791,532442,224819726,202707594
276,44965,"Humana Health Benefit Plan of Louisiana, Inc.",LA,7813491.4,482642.43,-119935.54,264141,363156,66514201.37,61711537.45,"Humana Health Benefit Plan of Louisiana, Inc.",LA,6599758.13,-2526804.46,-4759020.22,248033,434330,72076866.85,70634494.88
277,89219,John Alden Life Insurance Company,LA,,,-23667.98,594,1183,282374,340356,John Alden Life Insurance Company,LA,,,-30629.8,226,739,138756,115687
278,67202,"Louisiana Health Cooperative, Inc.",LA,9878052.34,-7456986.26,-36621.89,110861,1194,5190257,56988875.59,"Louisiana Health Cooperative, Inc.",LA,6806873.05,-8658833.22,-177962.62,287238,2901,74287655.86,119232310.9
279,97176,Louisiana Health Service & Indemnity Company,LA,59187419.01,22005546.46,803668.2,1596020,2115029,498116444,526706837,Louisiana Health Service & Indemnity Company,LA,59752232.01,67544981.11,7830648.73,1471589,1880339,545121264,646659307
280,31434,Time Insurance Company,LA,1428188.05,323444.34,8246.81,26302,3599,8515155,7871239,Time Insurance Company,LA,1118095.05,-317760.3,-14565.43,20764,2758,8172343,7963945
