,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME_2014,STATE_2014,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2014,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2014",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2014,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2014,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2014,IndPremiumPMM_2014,IndCostsPMM_2014,IndRTPMM_2014,IndPremiumMinusCostsPMM_2014,HIOS INPUTTED INSURANCE COMPANY NAME_2015,STATE_2015,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE)_2015,"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)_2015",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET)_2015,7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15_2015,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15_2015,IndPremiumPMM_2015,IndCostsPMM_2015,IndRTPMM_2015,IndPremiumMinusCostsPMM_2015,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),7.4Membermonths2HealthInsuranceINDIVIDUALTotalasof3/31/15,7.4Membermonths7HealthInsuranceSMALLGROUPTotalasof3/31/15,1.1Directpremiumwritten2HealthInsuranceINDIVIDUALTotalasof3/31/15,2.16Totalincurredclaims2HealthInsuranceINDIVIDUALTotalasof3/31/15,IndPremiumPMM,IndCostsPMM,IndRTPMM,IndPremiumMinusCostsPMM
88,77514,Neighborhood Health Plan of Rhode Island,RI,22152.3,-570729.75,-28800.7,11408,409,4044489.86,1975782.139,354.5310186,173.192684,-50.02890515,181.3383346,Neighborhood Health Plan of Rhode Island,RI,1435292.63,-8608201.54,-343863.12,187810,3128,58621412,25640382,312.1314733,136.522986,-45.83462829,175.6084873,Neighborhood Health Plan of Rhode Island,RI,305755.06,-5606340.68,-745071.9,191885,6603,59043046,40847971,307.7001642,212.8773536,-29.21719092,94.82281054
89,98905,CommunityCare HMO Inc.,OK,424071.17,823116.3,-1245374.77,17942,141504,4191506,4445552,233.6142013,247.7734924,45.87650764,-14.15929105,Community Care HMO Inc.,OK,919447.27,1755937.92,-1588829.22,27269,154716,7749880,9761451,284.2011075,357.9687924,64.3931908,-73.76768492,CommunityCare HMO Inc.,OK,442540.07,-358787.81,-6934924.82,24262,194283,6991090,6324078,288.1497816,260.6577364,-14.78805581,27.49204517
91,45786,Molina Healthcare of Texas,TX,973697.67,722999.82,,12642,,4804046,4692447,380.0068027,371.1791647,57.19030375,8.827638032,Molina Healthcare of Texas,TX,2013053.67,-4116190.69,,154159,,53436933,33378968,346.6351819,216.5229925,-26.70094312,130.1121894,"Molina Healthcare of Texas, Inc.",TX,4075833.89,-125970565.3,,1338209,,416288416,213949014,311.0787747,159.8771298,-94.13370057,151.2016449
93,86830,Cigna Health and Life Insurance Company,AZ,4060861.27,1978320.29,-24005.57,16576,1883,5021387,11070817,302.9311655,667.8822997,119.3484731,-364.9511342,Cigna Health and Life Insurance Company,AZ,1431522.46,2978136.23,-35.55,11908,1943,4425413,6759424,371.6336077,567.6372187,250.0954174,-196.003611,Cigna Health and Life Insurance Company,AZ,576234.39,1169118.87,28617.42,5370,3161,2334374,4529617,434.7065177,843.5040968,217.7130112,-408.7975791
94,82011,UnitedHealthcare Insurance Company,AZ,,,2961325.69,10904,486523,5036335.1,4047839,461.8795946,371.2251467,,90.65444791,United Healthcare Insurance Company,AZ,,,4970157.33,7959,455517,3526468.74,2392772.56,443.0793743,300.6373363,,142.4420379,UnitedHealthcare Insurance Company,AZ,,,5204264.49,8232,610625,3630950.63,3739603.56,441.077579,454.2764286,,-13.19884961
98,68398,"UnitedHealthcare of Florida, Inc.",FL,,,1650597.6,8953,709422,5326480.94,6733998.3,594.9381146,752.1499274,,-157.2118128,"United Healthcare of Florida, Inc.",FL,75479361.88,14572435.15,-4380861.24,1434483,753362,550885456.1,697124928.4,384.030662,485.9764308,10.15866702,-101.9457688,"UnitedHealthcare of Florida, Inc.",FL,35522703.08,93698886.73,-6990459.62,1050397,859545,474737313.1,609487747.2,451.9598905,580.2451332,89.20330764,-128.2852427
99,19722,"Molina Health Care of New Mexico, Inc.",NM,325293.64,685619.88,,18034,,5506419,4244028,305.335422,235.334812,38.01818121,70.00060996,"Molina Health Care of New Mexico, Inc.",NM,300867.77,-265619.48,,48422,,13765542,8974418,284.2828053,185.3376151,-5.48551237,98.9451902,"Molina Healthcare of New Mexico, Inc.",NM,1237375.41,4371278.82,,207287,,59055404,49024969,284.8968049,236.5076874,21.08805096,48.3891175
101,58288,"Humana Health Plan, Inc.",IL,1706900.43,614409.67,-1028302.66,14469,58894,5807766.545,9015660.135,401.393776,623.1018132,42.46386551,-221.7080372,"Humana Health Plan, Inc.",IL,434826.64,730433.28,-1525019.48,12865,44797,4870781.62,4513915.877,378.6071994,350.8679267,56.77678041,27.73927268,"Humana Health Plan, Inc.",IL,889216.13,1493121.7,-2268324.01,23925,33528,9338183.26,10831794.73,390.3106901,452.7395916,62.40843051,-62.42890157
102,89106,UnitedHealthcare Life Insurance Company,WI,1343804.49,1384844.33,,14670,,5908205.32,7068437.39,402.7406489,481.8294063,94.39974983,-79.08875733,United Healthcare Life Insurance Company,WI,2293913.16,-1371221.77,,51450,,21204925.8,22200055.13,412.1462741,431.487952,-26.65154072,-19.34167794,UnitedHealthcare Life Insurance Company,WI,1593125.58,-1255163.33,,66356,,30442418.01,27912439.39,458.7741577,420.646805,-18.91559663,38.12735276
103,73751,Medica Health Plans,ND,1073377.89,-807481.69,-105459.46,19468,1056,5948961.29,5644879.94,305.5763967,289.9568492,-41.47738288,15.61954746,Medica Health Plans,ND,1918693.8,-825246.58,389024.19,53628,2437,18429287.98,17357765.7,343.6504807,323.6698311,-15.38835273,19.98064966,Medica Health Plans,ND,1374734.61,-1809702.29,129354.14,76021,2498,29935799.47,27173036.06,393.7832897,357.4411815,-23.80529446,36.34210823
104,95677,UnitedHealthcare Insurance Company,CA,,,4029609.65,12461,503041,5995770.22,6042728.3,481.1628457,484.9312495,,-3.76840382,United Healthcare Insurance Company,CA,,,3006738.38,10567,492637,4656797.6,4845846.23,440.6924955,458.5829687,,-17.89047317,UnitedHealthcare Insurance Company,CA,,,-6770926.79,10293,840398,4565554.32,4285516.25,443.5591489,416.3524968,,27.20665209
105,80779,"Neighborhood Health Partnership, Inc.",FL,,,-171191.73,10782,617289,6051415.12,6242101.24,561.2516342,578.9372324,,-17.68559822,"Neighborhood Health Partnership, Inc.",FL,,,-338156.26,7636,554192,4216909.92,3195481.36,552.2406915,418.4758198,,133.7648717,"Neighborhood Health Partnership, Inc.",FL,,,-241201.26,7094,547235,3953536.42,2592755.81,557.3070792,365.4857358,,191.8213434
106,50727,Humana Insurance Company,VA,2610901.31,178764.83,-11304.8,22045,75,6157572.23,8852020.059,279.3183139,401.5432098,8.109087321,-122.2248958,Humana Insurance Company,VA,1723539.51,43710.21,,26924,,9158641.07,11430095.72,340.166434,424.5318571,1.623466424,-84.36542304,Humana Insurance Company,VA,686239.96,-329364.82,,19761,,7698364.02,10145325.44,389.5736056,513.401419,-16.66741663,-123.8278134
107,74313,Paramount Insurance Company,OH,1327983.05,-389493.94,-528876.15,15159,123962,6194037,6711129,408.6045913,442.7158124,-25.69390725,-34.11122106,Paramount Insurance Company,OH,1272564.12,-580499.95,-264272.01,33167,119621,12165663,11503977,366.8002231,346.850092,-17.50233515,19.95013115,Paramount Insurance Company,OH,885793.2,-2330312.51,1133285.63,48824,119125,18375620,16605362,376.3644929,340.106546,-47.72883234,36.25794691
108,29462,"Oxford Health Insurance, Inc. **",CT,,,4715438.4,10175,281054,6277323.63,5081898.85,616.9359833,499.4495184,,117.4864649,"Oxford Health Insurance, Inc.",CT,,,5162193.87,7471,226055,4981886.02,4654320.68,666.8298782,622.9849659,,43.84491233,"Oxford Health Insurance, Inc.",CT,,,6196764.55,6822,150440,4713848.61,4244556.35,690.9775154,622.1865069,,68.7910085
109,82569,"Boston Medical Center Health Plan, Inc. ***",MA,130830.24,,,24050,,6284033,2332226.708,261.2903534,96.97408349,,164.3162699,"Boston Medical Center Health Plan, Inc.",MA,1947450.1,,,282386,,83798266,61347073.43,296.7507808,217.2454492,,79.5053316,"Boston Medical Center Health Plan, Inc.",MA,1568492.99,,,430308,1829,123207107.1,110084940.9,286.3230688,255.828246,,30.49482278
110,45404,UnitedHealthcare Life Insurance Company,PA,1124049.95,798351.41,,27177,,6453709.23,9246442.03,237.4695231,340.2304165,29.37599477,-102.7608934,United Healthcare Life Insurance Company,PA,1102044.68,1720000.53,,33447,,10045141.52,15860896.66,300.3301199,474.2098442,51.42465782,-173.8797243,UnitedHealthcare Life Insurance Company,PA,264047.29,-300893.24,,29116,,9133722.57,10832316.79,313.7011461,372.0400052,-10.3342918,-58.33885905
115,26539,"SHA, LLC DBA FirstCare Health Plans",TX,1960486.45,2143995.88,-367353,21362,57678,6901426.81,12310190.48,323.0702561,576.2658216,100.3649415,-253.1955655,"SHA, LLC DBA First Care Health Plans",TX,3006003.71,1137907.19,-926124.88,114458,58012,26371990,30111944,230.4075731,263.0829125,9.941700799,-32.67533943,"SHA, LLC",TX,5445263.34,9379089.11,-1417544.26,204035,115148,64154934,88989988,314.4310241,436.1506016,45.96804034,-121.7195775
116,59763,Tufts Health Public Plans Inc. ***,MA,116022.27,,,21869,7664,6979196,3306650,319.1364946,151.2026156,,167.933879,Tufts Health Public Plans Inc.,MA,4629223.87,,,688066,23154,207545372,151069668,301.6358489,219.5569437,,82.07890522,"Tufts Health Public Plans, Inc.",MA,4141413.43,,,1173969,39735,336200238,289964646,286.3791446,246.9951472,,39.38399736
117,84014,County of Santa Clara,CA,440556.13,-318460.38,,15120,148,6988341,6495642,462.1918651,429.6059524,-21.06219444,32.5859127,County of Santa Clara,CA,505318.49,-115235.31,,22876,138,9807595,8941213,428.7285802,390.8556129,-5.037388967,37.8729673,Valley Health Plan,CA,315872.69,-2983496.65,,36673,385,17269187,13356316,470.8964906,364.2002563,-81.35403839,106.6962343
118,84481,"Molina Healthcare of Washington, Inc.",WA,1345029.79,3774960.62,,17442,,7086075,8800956,406.2650499,504.5841073,216.4293441,-98.31905745,"Molina Healthcare of Washington, Inc.",WA,1184205.29,1537384.84,,50553,,17631287,17023375,348.7683619,336.7431211,30.4113473,12.02524084,"Molina Healthcare of Washington, Inc.",WA,2469062.93,-8236558.77,,277467,,85278716,80939920.07,307.3472377,291.7100775,-29.68482295,15.6371602
120,16204,"Coordinated Health Mutual, Inc.",OH,929483.49,-1262069.95,-2121774.3,19320,23358,7108247,6902111,367.9216874,357.2521222,-65.32453157,10.66956522,"Coordinated Health Mutual, Inc.",OH,15348555.75,-3985495.69,-3214448.51,192418,62497,71644539,117238425,372.3380297,609.2903211,-20.71269679,-236.9522914,Coordinated Health Mutual,OH,7441726.47,-2492656.84,-11674650.02,118846,31622,50094649.49,89426654,421.5089232,752.4582569,-20.97383875,-330.9493337
122,20895,Humana Insurance Company,NV,2142999.48,1873080.72,-358637.74,30780,51544,7371670.17,12724866.64,239.4954571,413.4134711,60.85382456,-173.918014,Humana Insurance Company,NV,2037936.77,1431529.89,-1141023.21,17260,31901,5939058.05,13692385.66,344.0937457,793.3016025,82.93915933,-449.2078569,Humana Insurance Company,NV,,,534684.37,5603,12714,1499865.65,3624000.93,267.6897466,646.7965251,,-379.1067785
123,32237,Humana Insurance Company,NC,86672.41,-458922.56,-9900.45,37196,623,7419397.65,5361900.222,199.4676215,144.152603,-12.33795462,55.3150185,Humana Insurance Company,NC,293030.6,-520970.75,,28992,12,6801002.18,5108896.339,234.5820288,176.217451,-17.96946571,58.36457785,Humana Insurance Company,NC,454507.19,-1766155.71,,36040,,11018852.23,9552219.98,305.739518,265.0449495,-49.00543036,40.69456853
124,31552,Aetna Life Insurance Company,TN,170438.32,-116538.47,-866977.39,29871,80172,7433918.94,6290052.82,248.8674279,210.5738951,-3.901391651,38.29353286,Aetna Life Insurance Company,TN,76105.04,-112658.65,256967.28,15249,64634,4098764.87,2798856.85,268.7890924,183.5436324,-7.387936914,85.24546003,Aetna Life Insurance Company,TN,21837.26,-130203.17,-113561.26,5110,24444,1857278.33,1553781.03,363.4595558,304.0667378,-25.48007241,59.392818
125,29497,Aetna Life Insurance Company,DE,290104.21,-357373.55,-77166.51,37213,3228,7707729.93,5261689.08,207.1246589,141.393843,-9.603459812,65.73081584,Aetna Life Insurance Company,DE,983961.77,-1832345.1,-241246.17,23387,4936,8127670.65,7114111.22,347.5294245,304.1908419,-78.34887331,43.33858255,Aetna Life Insurance Company,DE,1002995.37,-617987.08,-609891.66,22659,9415,9954488.68,11091264.04,439.3172108,489.4860338,-27.2733607,-50.16882298
126,37001,Humana Insurance Company,GA,1866817.18,2184957.04,721767.42,28543,8348,7751973.47,8576659.711,271.5893028,300.4820695,76.54966331,-28.89276674,Humana Insurance Company,GA,1390112.88,1622203.69,308751.17,15247,10003,6050468.51,8094148.912,396.8300984,530.8682962,106.3949426,-134.0381978,Humana Insurance Company,GA,0,-131960.47,644608.47,3794,8928,1389158.73,743344.81,366.1462124,195.9264128,-34.78135741,170.2197997
127,50491,Cigna Health and Life Insurance Company,GA,3655883.02,3395529.35,,20959,46462,8089063,16033152,385.9469917,764.976955,162.0081755,-379.0299633,Cigna Health and Life Insurance Company,GA,3610522.83,3938467.33,,44469,40411,16818343,23889040,378.2037599,537.2065934,88.56658189,-159.0028334,Cigna Health and Life Insurance Company,GA,1923749.48,-770019.98,,65045,,23576429,25404651,362.4633561,390.5703897,-11.83826551,-28.10703359
128,70767,Aetna Life Insurance Company,MD,,,85307.78,40223,146753,8178450.31,7261502.09,203.3277058,180.5310914,,22.79661437,Aetna Life Insurance Company,MD,,,-2554392.85,7335,78583,2167727.03,1461037.56,295.5319741,199.1871247,,96.34484935,Aetna Life Insurance Company,MD,,,-904266.78,5709,66459,1592211.84,1578757.4,278.8950499,276.538343,,2.356706954
129,98704,UnitedHealthcare Life Insurance Company,OK,1369617.06,83712.74,,26326,,8231807.47,8105793.85,312.6873612,307.9007008,3.179850338,4.786660336,United Healthcare Life Insurance Company,OK,1663019.16,637091.31,,24179,,8196319.07,14955965.78,338.9850312,618.5518748,26.34895198,-279.5668435,UnitedHealthcare Life Insurance Company,OK,515261.49,-666540.06,,32232,,12269610.86,8541960.63,380.6655144,265.0149116,-20.67945086,115.6506028
130,89217,Aetna Life Insurance Company,NJ,6801229.68,8273636.8,2281721.44,20206,111072,8379737.33,25868635.87,414.7152989,1280.245267,409.4643571,-865.5299683,Aetna Life Insurance Company,NJ,3126673.44,5290240.82,2477419.03,8849,135251,5334473.55,20176352.38,602.8334897,2280.071463,597.8348763,-1677.237974,Aetna Life Insurance Company,NJ,1890405.94,6356361.63,-5730100.37,5865,588685,4309686.4,19951863.47,734.8143905,3401.852254,1083.778624,-2667.037864
132,94529,Group Health CooperativeSCW,WI,296955.37,1297858.57,-300007.81,22068,141267,8563146,9534047,388.0345296,432.030406,58.81178947,-43.99587638,Group Health Cooperative- SCW,WI,486417.48,1059019.73,1443408.15,23018,120594,10363196,10382746.45,450.221392,451.0707468,46.00832957,-0.849354853,Group Health Cooperative of South Central Wisconsin,WI,268039.83,747453.25,1378517.48,21069,85271,8881249,9818764.263,421.5315867,466.028965,35.47644644,-44.49737828
133,45002,UnitedHealthcare Life Insurance Company,MI,1080097.07,-743360.22,-2483.96,28706,14,8580932.4,10001658.77,298.9246987,348.4170128,-25.89563924,-49.49231415,United Healthcare Life Insurance Company,MI,1369709.18,358625.01,-62155.35,46145,425,14749675.81,16108348.77,319.6375731,349.0811306,7.771698125,-29.44355748,UnitedHealthcare Life Insurance Company,MI,402490.39,-1058410.43,-1115.68,35903,5,12108813.3,10161339.15,337.2646659,283.0220079,-29.47972119,54.242658
134,40788,Scott and White Health Plan,TX,1443594.34,1029126.45,-1609323.38,29650,246275,8581439,11188278.01,289.4245868,377.3449582,34.70915514,-87.92037133,Scott and White Health Plan,TX,6991418.55,-13412865.64,-4512866.63,254595,251093,78083137,92377528.02,306.695485,362.8410928,-52.68314633,-56.14560781,Scott and White Health Plan,TX,3121959.08,4400630.58,-14473480.33,103181,242826,19611642,57707747.49,190.0702843,559.2865691,42.64962135,-369.2162849
135,23307,"Humana Health Plan, Inc.",AZ,4117754.92,-351373.9,-750038.97,32208,137933,8637428.75,14286146.19,268.1765012,443.5589354,-10.90952248,-175.3824342,"Humana Health Plan, Inc.",AZ,676362.49,856409.75,-1948641.42,16365,143566,5082191,5778329,310.5524595,353.0906813,52.33179041,-42.53822181,"Humana Health Plan, Inc.",AZ,2289096.26,6251937.97,-6031056.26,67920,149687,21632437.19,33170875.72,318.4987808,488.3815624,92.04855668,-169.8827817
136,30613,Humana Insurance Company,MO,2155537.32,-545487.55,1697620.38,36575,163714,8745971.2,9764057.32,239.124298,266.959872,-14.91421873,-27.83557403,Humana Insurance Company,MO,4910519.65,-188325.95,-3938829.87,85368,182866,26388328.34,32700323.22,309.1126457,383.0512981,-2.206048519,-73.93865242,Humana Insurance Company,MO,2133913.47,-10432560.76,-6322781.87,208756,180124,73674052.39,56146377.61,352.9194485,268.9569527,-49.97490257,83.96249583
137,94506,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,316474.04,-751505.85,-1598160.33,22353,47595,8802394,8736406,393.7902742,390.8381873,-33.61991008,2.952086968,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,493299.21,-1625923.79,-2940128.99,28987,47724,8721639,9746356,300.8810501,336.2319661,-56.09148204,-35.35091593,"Kaiser Foundation Health Plan of the MidAtlantic States, Inc.",DC,152397.44,-1825261.64,-1659851.69,28489,46433,9015097,9548927,316.4413282,335.1794377,-64.06899645,-18.73810945
140,39481,UnitedHealthcare Life Insurance Company,SC,1693040.39,-774807.83,,25194,,9310950.57,9333526.57,369.5701584,370.4662447,-30.75366476,-0.89608637,United Healthcare Life Insurance Company,SC,2087442.23,-414394.03,,36813,,14524584.65,16070654.17,394.550421,436.5483435,-11.25673077,-41.99792247,UnitedHealthcare Life Insurance Company,SC,1189967.63,1009347.25,,25048,,11876645.34,13232655.76,474.1554352,528.2919099,40.29652068,-54.13647477
141,79888,"HealthPartners, Inc.",MN,1402532.92,2384614.4,-4200533.56,22057,1061856,9438000,13356000,427.8913724,605.5220565,108.1114567,-177.6306841,"HealthPartners, Inc.",MN,,31708.01,-13774545.17,9394,1214110,4443000,5931000,472.9614648,631.3604428,3.37534703,-158.3989781,"HealthPartners, Inc",MN,,,-13565960.64,5648,1260945,2893000,4485000,512.2167139,794.0864023,,-281.8696884
142,95878,HPHC Insurance Company Inc. ***,MA,2225269.37,,,21557,144645,9507570,8018263.493,441.0432806,371.9563712,,69.08690945,HPHC Insurance Company Inc.,MA,2288842.82,,,120352,114120,30878843.46,25117387.64,256.571087,208.6993788,,47.87170816,HPHC Insurance Company Inc.,MA,2766034.85,,,132159,101429,39196669.11,40936206.3,296.5872102,309.7496674,,-13.16245727
144,14162,UnitedHealthcare Life Insurance Company,MO,2019769.19,1388382.82,,25008,,9686371.36,11088178.65,387.3309085,443.3852627,55.51754718,-56.05435421,United Healthcare Life Insurance Company,MO,3675197.04,1543008.5,,100794,,34181806.75,37885711.01,339.1254117,375.872681,15.30853523,-36.74726928,UnitedHealthcare Life Insurance Company,MO,1399839.02,-4769647.33,,115362,,42211608.14,35676448.69,365.9056547,309.2565029,-41.34504716,56.6491518
145,70619,UnitedHealthcare Life Insurance Company,TX,2549577.18,767008.61,,23287,,9707488.98,13214239.54,416.8630128,567.451348,32.93720144,-150.5883351,United Healthcare Life Insurance Company,TX,11906450.88,5956388.28,,145701,,52260167.58,95892226.31,358.6809121,658.1439133,40.88090185,-299.4630011,UnitedHealthcare Life Insurance Company,TX,11720137.04,7301644.58,,314319,,120222071.1,161371093,382.4842631,513.3991041,23.23004521,-130.914841
148,58564,Physicians Plus Insurance Corporation,WI,140156.72,556347.7,-104807.25,41406,179478,10327768,11704591,249.4268464,282.6786215,13.43640294,-33.25177511,Physicians Plus Insurance Corporation,WI,166156.71,175983.58,-629677.53,31587,188864,9953281,9656285,315.1068794,305.7044037,5.571392662,9.402475702,Physicians Plus,WI,86662.36,66070.22,109919.09,28030,112734,9684500.24,8602133.78,345.5048248,306.8902526,2.357125223,38.61457224
150,34484,"Health New England, Inc. ***",MA,774704.21,,,26658,252869,10392418,10507054,389.8423738,394.1426214,,-4.30024758,"Health New England, Inc.",MA,1633271.41,,,54482,239883,25232898,25529506,463.1419184,468.5860651,,-5.444146691,Health New England,MA,1201283.84,,,87434,224591,35311313,41879227,403.8624906,478.9810257,,-75.11853512
152,65847,Medica Health Plans of Wisconsin,MN,2670519.49,130710.53,,32699,,10691860.88,11093060,326.978222,339.2476834,3.997386159,-12.26946145,Medica Health Plans of Wisconsin,MN,6052960.34,7678426.35,,76939,,25770963.62,40944996.08,334.9531917,532.1747889,99.79888418,-197.2215971,Medica Health Plans of Wisconsin,MN,10897237.25,-13675777.86,,499608,,182210405.4,197333022.2,364.7067409,394.9757054,-27.37301616,-30.26896447
153,57165,"Affinity Health Plan, Inc.",NY,464860.5,-2141766.08,,23258,,10718293.95,9224831,460.8433206,396.6304497,-92.08728524,64.21287084,"Affinity Health Plan, Inc.",NY,2549532.7,-24567668.78,,190900,,75887448,42445398,397.5246097,222.3436249,-128.6939171,175.1809848,"Affinity Health Plan, Inc.",NY,1183456.71,-9261635.02,,108233,,42411050,37863365,391.8495283,349.8319829,-85.57126773,42.01754548
154,71837,"Sendero Health Plans, inc.",TX,832608.73,-1992571.72,,36372,,11017658,9210273.545,302.9159243,253.2242809,-54.78312218,49.69164343,"Sendero Health Plans, Inc.",TX,1494250.38,-4376813.02,,72061,,20742943,16440299.79,287.8525555,228.1442082,-60.73761147,59.70834723,"Sendero Health Plans, Inc.",TX,1208911.99,-30547269.78,,240950,,62410719.39,35066545.2,259.0193791,145.5345308,-126.7784593,113.4848483
155,79763,Land of Lincoln Mutual Health Insurance Company,IL,4808906.25,816860.44,-390929.05,30733,2616,11019957,19901363.37,358.5708196,647.5568077,26.57926138,-288.985988,Land of Lincoln Mutual Health Insurance Company,IL,18123842.55,-22604098.38,-9219351.96,414794,91889,127889882.8,183230368.4,308.3214386,441.7382325,-54.49475735,-133.4167939,Land of Lincoln Mutual Health Insurance Company,IL,9157710.03,-11963347.32,-9752011.63,334517,78617,123126850,161305248.2,368.0735209,482.2034402,-35.76304738,-114.1299193
156,71281,Regence BlueCross BlueShield Of Oregon,WA,3168816.2,1956765.45,-175111.08,39006,21425,11282241,18378882,289.2437317,471.1808952,50.16575527,-181.9371635,Regence BlueCross BlueShield Of Oregon,WA,2905564.38,1286238.74,821632.25,52337,11196,15966797,20919459,305.076657,399.7068804,24.57608843,-94.63022336,Regence BlueCross BlueShield Of Oregon(Clark County),WA,996467.25,1808456.1,326963.22,58273,19936,21293460,20013979,365.4086798,343.4520104,31.0342028,21.95666947
157,19968,Humana Insurance Company,KS,385045.35,97760.97,-291686.41,65146,183283,11305627.63,9476517.522,173.5429287,145.4658386,1.500644245,28.07709004,Humana Insurance Company,KS,639450.47,129998.03,453059.45,52893,210867,10922316.9,11120538.07,206.4983438,210.2459318,2.457754901,-3.747587961,Humana Insurance Company,KS,0,1652.45,2126319.62,24433,214049,4799724.78,2746896.52,196.444349,112.4256751,0.067631891,84.01867392
158,97596,Humana Insurance Company,OH,1360718.31,976968.6,-210554.64,45174,6861,11312075.87,10653083.42,250.4112071,235.8233369,21.62678975,14.58787024,Humana Insurance Company,OH,2367594.63,1602746.25,-114966.92,50883,6566,15292961.66,20542930.91,300.5514938,403.7287682,31.49865869,-103.1772743,Humana Insurance Company,OH,,,-384160.46,9151,4216,2323436,762431.4,253.8996831,83.31673041,,170.5829527
159,10940,"Health Net Health Plan of Oregon, Inc.",OR,3230190.41,2794804.37,-2324193.93,38452,294506,11359633,19496468,295.4237231,507.0339124,72.68293899,-211.6101893,"Health Net Health Plan of Oregon, Inc.",OR,1855731.14,3408186.75,45710.69,19103,257570,8270658,14324515,432.9507407,749.8568288,178.4110742,-316.906088,"Health Net Plan of Oregon, Inc.",OR,550910.97,2480143.2,2264459.82,9966,261877,4221764.73,10920805.29,423.61677,1095.80627,248.8604455,-672.1895003
161,91069,"HealthyCT, Inc. **",CT,1944236.31,-569431.67,-532743.6,23491,3296,11974980,12903482.29,509.7688476,549.294721,-24.24041846,-39.52587331,"HealthyCT, Inc.",CT,11450211.51,-6912671.83,-6459820.49,204238,70909,95596346.48,94063469.84,468.0634675,460.5581226,-33.84615904,7.505344941,"HealthyCT, Inc.",CT,6340096.71,-745863.3,-7270795.39,176948,127194,80188268.15,100808441.7,453.1741989,569.7065901,-4.2151553,-116.5323912
162,15438,Coventry Health Care of Nebraska Inc.,NE,2189015.61,1102852.31,-43854.16,45293,127745,12389748.67,13137899.13,273.5466556,290.0646707,24.34928819,-16.51801515,Coventry Health Care of Nebraska Inc.,NE,19997409.37,-13630630.99,-516160.25,547175,131042,172505065,190002625.7,315.2648878,347.2428852,-24.91091696,-31.97799735,Coventry Health Care of Nebraska Inc.,NE,10568365.68,-14085301,-511279.04,511508,38974,193428464.7,199607881.8,378.1533519,390.2341348,-27.53681467,-12.0807829
163,34102,"Group Health Plan, Inc.",MN,2695282.74,-2650.5,,51252,,12629000,15951000,246.4098962,311.226879,-0.051715055,-64.81698275,"Group Health Plan, Inc.",MN,4673126.71,-4257609.45,,145243,,34215000,40862000,235.5707332,281.3354172,-29.31369808,-45.76468401,Group Health Plan Inc,MN,3025814.22,-17682308.21,,228405,,66448788,61361000,290.9252775,268.6499858,-77.41646728,22.2752917
164,53732,BridgeSpan Health Company,WA,3714808.43,6256017.45,,30344,,12723891,17699706,419.3214804,583.3016741,206.1698342,-163.9801938,Bridge Span Health Company,WA,5157667.99,3046204.15,,122870,,43512275,49813908,354.1326198,405.4196142,24.79209042,-51.28699438,BridgeSpan Health Company (WA),WA,2003386.23,5119648.78,,65169,,25453606,28458860,390.5784345,436.693213,78.5595725,-46.1147785
166,67879,UnitedHealthcare Insurance Company,CO,,,3694826.77,27168,648310,13529598.43,14539004.6,497.9975865,535.1518183,,-37.15423182,United Healthcare Insurance Company,CO,,,979323.74,19084,553156,9615388.77,8685449.61,503.8455654,455.1168314,,48.72873402,UnitedHealthcare Insurance Company,CO,,,18066220.34,15932,815709,7545206.71,5549825.71,473.5881691,348.3445713,,125.2435978
